request_id,segment_id,system_type,district,request_type,submitted_date,resolved_date,resolution_status,severity,channel,lat,lon
SR-00042,PIPE-0009,Water,West Boise,Discolored Water,2025-06-07,2025-07-02,In Review,High,311 App,43.65103394224152,-116.28914824294941
SR-00043,PIPE-0361,Water,Southwest,Leak Report,2024-09-29,,Resolved,High,Phone,43.572115129827495,-116.25456896289292
SR-00044,PIPE-0273,Water,West Boise,Water Main Break,2024-08-16,2024-09-06,In Review,Critical,Phone,43.6364747370825,-116.2564013294928
SR-00045,PIPE-0361,Water,Southwest,Discolored Water,2024-11-17,2024-12-22,In Review,Medium,311 App,43.57184247830073,-116.25743774819446
SR-00046,PIPE-0391,Sewer,West Boise,Manhole Overflow,2025-06-20,2025-07-09,Pending,Critical,311 App,43.63464870805302,-116.26928003989934
SR-00047,PIPE-0036,Stormwater,Downtown,Street Flooding,2024-01-30,2024-02-26,Pending,Critical,Phone,43.617987740381295,-116.22047192217245
SR-00048,PIPE-0181,Water,Southwest,Water Main Break,2025-03-30,2025-04-06,Pending,High,Phone,43.57738118692632,-116.27651666606293
SR-00049,PIPE-0345,Stormwater,Southeast,Street Flooding,2024-05-11,,Resolved,Low,Web Form,43.540210300489576,-116.1872877120219
SR-00050,PIPE-0290,Sewer,East Bench,Slow Drain,2025-01-19,2025-03-01,In Review,High,SCADA,43.61875699373384,-116.14202167176998
SR-00051,PIPE-0287,Water,West Boise,Hydrant Issue,2025-10-21,,In Review,Low,311 App,43.65210110668651,-116.29659434350836
SR-00052,PIPE-0477,Sewer,Downtown,Sewer Backup,2024-03-10,,In Review,Medium,Phone,43.61214943762358,-116.18351173227202
SR-00053,PIPE-0009,Water,West Boise,Leak Report,2024-03-24,2024-03-29,Pending,Low,SCADA,43.65148427483242,-116.28941503932695
SR-00054,PIPE-0034,Water,Southwest,Discolored Water,2024-04-01,2024-04-30,Resolved,High,Phone,43.554613061501044,-116.29053196568097
SR-00055,PIPE-0194,Water,Downtown,Discolored Water,2024-02-23,2024-04-08,Pending,Low,311 App,43.613274003615814,-116.2133553373993
SR-00056,PIPE-0107,Sewer,Downtown,Slow Drain,2024-05-20,2024-06-10,In Review,Critical,311 App,43.61321398778264,-116.1758414423915
SR-00057,PIPE-0417,Sewer,Downtown,Sewer Backup,2025-12-14,2025-12-19,Resolved,Low,Phone,43.61415502396127,-116.21726213981178
SR-00058,PIPE-0089,Water,Southwest,Hydrant Issue,2024-03-23,2024-04-16,Resolved,Critical,Phone,43.59860902340818,-116.2965406002201
SR-00059,PIPE-0059,Water,Southwest,Hydrant Issue,2025-09-29,,Pending,Critical,Phone,43.5869372893732,-116.23614831410863
SR-00060,PIPE-0404,Water,Southeast,Water Main Break,2024-07-19,,Pending,Low,Web Form,43.53980659908142,-116.20021782622923
SR-00061,PIPE-0192,Water,North End,Discolored Water,2025-11-18,2025-12-14,Resolved,Low,311 App,43.677589808257956,-116.19371208150103
SR-00062,PIPE-0478,Stormwater,West Boise,Culvert Blockage,2024-07-29,,In Review,High,Phone,43.65471660861472,-116.31496855882932
SR-00063,PIPE-0383,Sewer,Southeast,Root Intrusion Report,2024-02-25,2024-03-11,Pending,Medium,311 App,43.585759606261625,-116.19877830578024
SR-00064,PIPE-0418,Sewer,Downtown,Slow Drain,2024-12-07,,In Review,High,SCADA,43.60193691794249,-116.18706974808306
SR-00065,PIPE-0370,Water,Downtown,Water Main Break,2025-05-18,2025-06-26,In Review,Medium,311 App,43.621482481254674,-116.19819135057712
SR-00066,PIPE-0381,Water,West Boise,Low Pressure,2025-09-26,,Pending,Low,Web Form,43.621376242454446,-116.33401900708436
SR-00067,PIPE-0127,Water,Downtown,Discolored Water,2024-04-09,,In Review,Medium,SCADA,43.61542238594402,-116.18792171613396
SR-00068,PIPE-0119,Sewer,Downtown,Sewer Backup,2025-10-31,,Resolved,High,Phone,43.61463690261868,-116.21790149699962
SR-00069,PIPE-0142,Stormwater,West Boise,Street Flooding,2024-07-28,,Pending,Medium,311 App,43.62084934706849,-116.33576976388017
SR-00070,PIPE-0464,Stormwater,North End,Erosion Report,2025-08-16,2025-09-03,Resolved,Critical,311 App,43.658621736090296,-116.18477282057812
SR-00071,PIPE-0231,Water,North End,Leak Report,2025-11-25,2025-11-28,Pending,Critical,SCADA,43.63733809156981,-116.20762592374537
SR-00072,PIPE-0480,Water,West Boise,Water Main Break,2025-11-03,,In Review,High,SCADA,43.6075867945264,-116.26695086224721
SR-00073,PIPE-0479,Sewer,Downtown,Slow Drain,2024-07-11,,Resolved,Low,SCADA,43.608774777585275,-116.20055921226094
SR-00074,PIPE-0067,Stormwater,Downtown,Street Flooding,2024-02-18,,In Review,High,SCADA,43.62728285680629,-116.18946763702952
SR-00075,PIPE-0467,Water,Southwest,Discolored Water,2025-01-15,2025-02-19,Pending,High,SCADA,43.56004985092605,-116.29812988323009
SR-00076,PIPE-0290,Sewer,East Bench,Slow Drain,2024-12-21,2024-12-31,In Review,Critical,Web Form,43.62189054566239,-116.1441282177617
SR-00077,PIPE-0038,Sewer,Downtown,Odor Complaint,2024-05-20,,In Review,Critical,SCADA,43.61739881326041,-116.21855280015825
SR-00078,PIPE-0465,Water,Downtown,No Water,2024-02-13,,Resolved,High,Phone,43.61041439143177,-116.17971022963584
SR-00079,PIPE-0203,Water,Southeast,Low Pressure,2024-07-29,2024-08-24,Pending,Low,311 App,43.54386327538561,-116.13352514163434
SR-00080,PIPE-0439,Water,Downtown,No Water,2025-07-17,2025-07-28,Resolved,High,SCADA,43.60442168538133,-116.19873358120667
SR-00081,PIPE-0303,Water,Southwest,No Water,2025-07-15,2025-08-18,Pending,Medium,Web Form,43.59767430526042,-116.275104796232
SR-00082,PIPE-0024,Water,West Boise,Discolored Water,2024-08-19,2024-09-18,In Review,Medium,311 App,43.645259734141156,-116.31578787814902
SR-00083,PIPE-0332,Sewer,Southeast,Sewer Backup,2025-05-22,,In Review,High,Phone,43.56927720228238,-116.19274856957479
SR-00084,PIPE-0448,Stormwater,Downtown,Clogged Drain,2025-10-15,,Resolved,Low,311 App,43.60556413628796,-116.17617165040416
SR-00085,PIPE-0066,Stormwater,Downtown,Erosion Report,2025-11-27,,Pending,Low,SCADA,43.61583349843876,-116.21935365979662
SR-00086,PIPE-0129,Water,Downtown,Leak Report,2025-09-03,,Pending,Medium,Web Form,43.60833409552155,-116.17464123681427
SR-00087,PIPE-0146,Water,Southeast,Leak Report,2025-09-21,2025-11-04,Resolved,Critical,Web Form,43.5883339878299,-116.18118887129079
SR-00088,PIPE-0100,Water,Southwest,Leak Report,2025-01-27,2025-02-03,In Review,High,SCADA,43.57998255326615,-116.2551691308203
SR-00089,PIPE-0453,Sewer,Downtown,Sewer Backup,2024-03-29,2024-05-03,Resolved,Medium,311 App,43.60564574478995,-116.21096679111358
SR-00090,PIPE-0154,Water,Downtown,Water Main Break,2025-04-25,,In Review,Critical,Phone,43.61548686901434,-116.21437318495768
SR-00091,PIPE-0268,Sewer,West Boise,Root Intrusion Report,2025-08-30,2025-09-01,Pending,Low,Phone,43.63495671991118,-116.26986047580252
SR-00092,PIPE-0397,Water,North End,Water Main Break,2025-07-02,2025-07-06,In Review,Low,SCADA,43.63668067471451,-116.23019309627136
SR-00093,PIPE-0236,Water,East Bench,Water Main Break,2024-02-10,,Pending,Low,Phone,43.59346925907961,-116.14041671739723
SR-00094,PIPE-0465,Water,Downtown,No Water,2024-09-12,,In Review,Medium,SCADA,43.60718549870319,-116.18127428880145
SR-00095,PIPE-0058,Stormwater,Southeast,Clogged Drain,2025-11-30,2026-01-01,In Review,Critical,311 App,43.53840615088237,-116.201443178769
SR-00096,PIPE-0247,Stormwater,West Boise,Standing Water,2025-09-11,2025-10-10,Pending,Critical,311 App,43.61159863522664,-116.31669724213249
SR-00097,PIPE-0136,Water,Downtown,Leak Report,2025-07-10,,Resolved,High,SCADA,43.606476126235904,-116.22031097906628
SR-00098,PIPE-0331,Water,North End,Water Main Break,2024-09-26,2024-11-08,Pending,Critical,Phone,43.64117246496081,-116.17527686808677
SR-00099,PIPE-0346,Sewer,Downtown,Manhole Overflow,2024-06-14,,In Review,Medium,SCADA,43.60461244786777,-116.21981632443149
SR-00100,PIPE-0132,Water,North End,No Water,2025-05-04,,Resolved,Critical,311 App,43.638611666326995,-116.23107100682847
SR-00101,PIPE-0379,Sewer,Southwest,Sewer Backup,2024-05-16,2024-06-11,Pending,Low,311 App,43.57155201033225,-116.29164635523122
SR-00102,PIPE-0361,Water,Southwest,Discolored Water,2024-01-10,,Pending,Medium,SCADA,43.57386490116517,-116.25692533195304
SR-00103,PIPE-0240,Sewer,Downtown,Manhole Overflow,2025-05-05,,Pending,Low,Phone,43.617679329391684,-116.18504661747771
SR-00104,PIPE-0325,Water,Downtown,Hydrant Issue,2024-03-10,2024-03-15,Resolved,Medium,SCADA,43.60135908379035,-116.19896310994572
SR-00105,PIPE-0100,Water,Southwest,Low Pressure,2024-09-25,2024-10-23,Pending,Critical,311 App,43.57677442277669,-116.25378301899782
SR-00106,PIPE-0247,Stormwater,West Boise,Clogged Drain,2025-04-05,2025-04-20,Pending,Critical,Phone,43.609730362417665,-116.31820296603823
SR-00107,PIPE-0123,Sewer,Downtown,Slow Drain,2024-03-17,2024-03-19,Resolved,Low,Phone,43.60109167229061,-116.20169720580739
SR-00108,PIPE-0006,Water,East Bench,Water Main Break,2024-10-14,2024-11-05,In Review,High,Web Form,43.60769751561226,-116.16518135246159
SR-00109,PIPE-0218,Sewer,North End,Root Intrusion Report,2025-12-05,2026-01-10,In Review,Medium,SCADA,43.62534830102595,-116.19969430369825
SR-00110,PIPE-0058,Stormwater,Southeast,Street Flooding,2025-06-29,2025-08-09,Pending,High,Web Form,43.541499006071355,-116.19962226472755
SR-00111,PIPE-0132,Water,North End,Discolored Water,2024-11-27,2025-01-03,Pending,High,Phone,43.639675940855476,-116.22992931295407
SR-00112,PIPE-0211,Sewer,North End,Manhole Overflow,2024-09-27,2024-11-09,In Review,Medium,Web Form,43.67524086420176,-116.18543908136172
SR-00113,PIPE-0139,Sewer,North End,Slow Drain,2025-07-20,,In Review,Medium,311 App,43.66057737079414,-116.199733417318
SR-00114,PIPE-0105,Water,Southeast,Water Main Break,2024-07-29,2024-09-08,Resolved,Critical,Web Form,43.5389825352547,-116.1724466267279
SR-00115,PIPE-0197,Water,North End,Discolored Water,2025-08-04,2025-08-26,Pending,Low,Web Form,43.665892717111305,-116.20798575191888
SR-00116,PIPE-0269,Sewer,East Bench,Manhole Overflow,2025-02-06,,Pending,Critical,SCADA,43.596924004075255,-116.15134942325592
SR-00117,PIPE-0340,Stormwater,West Boise,Erosion Report,2025-06-07,2025-06-20,Resolved,Critical,SCADA,43.63465308709777,-116.31017752738056
SR-00118,PIPE-0012,Sewer,Downtown,Sewer Backup,2024-05-02,,Pending,Low,311 App,43.605816698848194,-116.19237257591237
SR-00119,PIPE-0346,Sewer,Downtown,Sewer Backup,2024-10-01,,In Review,Critical,Phone,43.60213274953447,-116.21935881219606
SR-00120,PIPE-0385,Water,Downtown,Hydrant Issue,2024-04-24,,In Review,High,Web Form,43.59971921057227,-116.19721804667293
SR-00121,PIPE-0403,Sewer,Southwest,Odor Complaint,2025-08-07,2025-09-12,Resolved,Medium,311 App,43.57770484099579,-116.27685712882297
SR-00122,PIPE-0212,Sewer,Downtown,Root Intrusion Report,2025-01-27,,Resolved,Medium,311 App,43.60028496109666,-116.19910147091976
SR-00123,PIPE-0374,Water,Southwest,Discolored Water,2025-05-12,,Pending,Medium,Phone,43.59529102645235,-116.23235542976512
SR-00124,PIPE-0095,Water,North End,Low Pressure,2024-08-13,,Resolved,High,SCADA,43.68031855028453,-116.20589513466234
SR-00125,PIPE-0343,Water,Southwest,Low Pressure,2024-08-06,,Pending,Critical,SCADA,43.57876554213724,-116.22814152635405
SR-00126,PIPE-0158,Sewer,Downtown,Odor Complaint,2025-01-24,,Resolved,Critical,SCADA,43.6171173510302,-116.2199042584794
SR-00127,PIPE-0492,Stormwater,Southeast,Standing Water,2025-05-26,2025-06-20,In Review,Medium,Web Form,43.58257906294273,-116.2016905721843
SR-00128,PIPE-0389,Water,Downtown,Discolored Water,2025-11-30,2025-12-26,Resolved,High,Web Form,43.60555540913922,-116.22100493735924
SR-00129,PIPE-0158,Sewer,Downtown,Sewer Backup,2024-08-24,2024-09-24,In Review,Medium,311 App,43.615767983228,-116.2187995974415
SR-00130,PIPE-0029,Water,Downtown,Leak Report,2024-12-19,2024-12-21,Pending,Critical,SCADA,43.62346584362069,-116.18826429707825
SR-00131,PIPE-0386,Water,West Boise,Leak Report,2025-01-10,2025-01-27,Resolved,Medium,Phone,43.63701358778338,-116.26341596420869
SR-00132,PIPE-0404,Water,Southeast,Water Main Break,2024-07-19,2024-08-13,Resolved,Medium,311 App,43.54082841819274,-116.20136498531424
SR-00133,PIPE-0342,Sewer,West Boise,Sewer Backup,2025-07-20,,In Review,High,SCADA,43.605747117356216,-116.26137046384589
SR-00134,PIPE-0127,Water,Downtown,Water Main Break,2024-07-09,,Resolved,Low,Phone,43.61594224043644,-116.18692922140252
SR-00135,PIPE-0292,Stormwater,Downtown,Standing Water,2024-06-29,,Pending,Medium,Phone,43.61439572724914,-116.21815463145985
SR-00136,PIPE-0142,Stormwater,West Boise,Street Flooding,2024-03-19,,Pending,Medium,311 App,43.62351523726674,-116.336455245383
SR-00137,PIPE-0141,Stormwater,Downtown,Clogged Drain,2024-07-02,,Resolved,Low,Web Form,43.61333362931477,-116.20562860147761
SR-00138,PIPE-0218,Sewer,North End,Slow Drain,2024-01-22,2024-01-26,Resolved,Medium,311 App,43.62587626755702,-116.1990738515433
SR-00139,PIPE-0360,Sewer,West Boise,Odor Complaint,2025-09-15,2025-10-22,Pending,Medium,SCADA,43.64985558002205,-116.32942849526592
SR-00140,PIPE-0073,Sewer,North End,Sewer Backup,2025-10-17,2025-10-20,Pending,Medium,311 App,43.62514880998315,-116.20073542779187
SR-00141,PIPE-0328,Stormwater,East Bench,Culvert Blockage,2025-02-08,2025-03-06,Pending,High,SCADA,43.598894525047164,-116.17490611833522
SR-00142,PIPE-0012,Sewer,Downtown,Sewer Backup,2025-05-30,2025-06-08,Resolved,Low,Web Form,43.60579578406198,-116.1930198552197
SR-00143,PIPE-0326,Water,Southwest,Low Pressure,2025-01-26,2025-02-19,Pending,Critical,Phone,43.58361924549913,-116.2783357182771
SR-00144,PIPE-0115,Stormwater,Southeast,Clogged Drain,2024-05-30,2024-07-07,In Review,High,SCADA,43.5399259671175,-116.16668448782264
SR-00145,PIPE-0375,Water,Southwest,Leak Report,2025-03-25,,Pending,Critical,Web Form,43.589055533749956,-116.23329980277913
SR-00146,PIPE-0031,Stormwater,East Bench,Clogged Drain,2024-02-22,,In Review,Low,Web Form,43.60479714256778,-116.17559777955815
SR-00147,PIPE-0353,Stormwater,East Bench,Culvert Blockage,2025-10-31,2025-11-05,Pending,High,SCADA,43.58186509766072,-116.17307457015309
SR-00148,PIPE-0468,Sewer,East Bench,Odor Complaint,2024-03-10,2024-03-23,In Review,Medium,311 App,43.6022513982462,-116.16523324388861
SR-00149,PIPE-0186,Sewer,Southeast,Root Intrusion Report,2024-10-03,,Resolved,High,311 App,43.58881143463193,-116.18593683627657
SR-00150,PIPE-0446,Water,West Boise,Water Main Break,2024-12-21,2025-01-09,Resolved,Low,SCADA,43.63746896992348,-116.31118136729349
SR-00151,PIPE-0476,Sewer,Downtown,Root Intrusion Report,2025-11-13,2025-12-20,Resolved,Medium,SCADA,43.606164608248136,-116.21914291532516
SR-00152,PIPE-0266,Stormwater,Southeast,Clogged Drain,2025-10-12,,Resolved,Low,SCADA,43.589873039306234,-116.20111904981607
SR-00153,PIPE-0190,Stormwater,Southeast,Standing Water,2024-01-13,2024-01-26,In Review,Medium,SCADA,43.590471886670414,-116.1873353336103
SR-00154,PIPE-0055,Stormwater,West Boise,Clogged Drain,2025-08-04,,Resolved,Low,Phone,43.60874036260835,-116.2867579692457
SR-00155,PIPE-0194,Water,Downtown,Discolored Water,2024-03-08,,In Review,Critical,311 App,43.6127178781213,-116.21244757487597
SR-00156,PIPE-0376,Sewer,Southwest,Slow Drain,2025-09-23,2025-10-17,Pending,High,Web Form,43.554959836621634,-116.26438399255508
SR-00157,PIPE-0282,Sewer,North End,Root Intrusion Report,2025-08-26,2025-09-13,Resolved,Medium,311 App,43.651859493465764,-116.20746324587273
SR-00158,PIPE-0336,Stormwater,Downtown,Street Flooding,2024-11-03,2024-11-29,In Review,High,Web Form,43.59842598720861,-116.20002511212196
SR-00159,PIPE-0182,Sewer,West Boise,Slow Drain,2024-08-12,2024-08-28,Resolved,Low,Web Form,43.605855580100496,-116.3064605971724
SR-00160,PIPE-0079,Sewer,Downtown,Manhole Overflow,2024-11-02,,In Review,Critical,311 App,43.60109986416441,-116.19540250198051
SR-00161,PIPE-0241,Sewer,North End,Slow Drain,2025-02-19,2025-03-01,Pending,Low,Web Form,43.64462937608654,-116.17459609438478
SR-00162,PIPE-0370,Water,Downtown,Hydrant Issue,2025-05-18,2025-06-13,Resolved,Critical,SCADA,43.62241480024395,-116.200583129635
SR-00163,PIPE-0025,Sewer,Downtown,Root Intrusion Report,2024-06-17,,Pending,Critical,311 App,43.611800639331875,-116.1766707589687
SR-00164,PIPE-0428,Sewer,West Boise,Sewer Backup,2024-06-02,2024-07-04,In Review,Medium,311 App,43.61118434904525,-116.32464470771932
SR-00165,PIPE-0036,Stormwater,Downtown,Erosion Report,2025-01-10,2025-02-24,In Review,Low,311 App,43.616861886254696,-116.22076093043893
SR-00166,PIPE-0079,Sewer,Downtown,Sewer Backup,2025-08-19,,In Review,Low,Phone,43.60115817073494,-116.19551877545814
SR-00167,PIPE-0447,Sewer,East Bench,Root Intrusion Report,2025-05-17,,Pending,Low,Web Form,43.60829246401432,-116.17515065373163
SR-00168,PIPE-0011,Stormwater,Southeast,Culvert Blockage,2024-06-10,2024-07-25,Resolved,Critical,Phone,43.54615412811099,-116.16375286505217
SR-00169,PIPE-0386,Water,West Boise,Leak Report,2025-11-11,,Pending,High,Web Form,43.63477361307804,-116.26317337028556
SR-00170,PIPE-0357,Stormwater,Southeast,Erosion Report,2024-08-28,2024-09-17,Resolved,Medium,SCADA,43.588856883671504,-116.20137912368665
SR-00171,PIPE-0476,Sewer,Downtown,Sewer Backup,2025-08-24,2025-09-03,Pending,Medium,Phone,43.607735078921365,-116.22087009895532
SR-00172,PIPE-0323,Water,Southeast,Leak Report,2024-11-23,2024-12-24,Pending,Low,Web Form,43.57842274479405,-116.18878191248703
SR-00173,PIPE-0444,Sewer,Downtown,Manhole Overflow,2024-02-04,2024-03-01,Pending,Low,311 App,43.624125518049034,-116.19912672966852
SR-00174,PIPE-0368,Sewer,West Boise,Slow Drain,2024-07-10,2024-08-09,In Review,High,SCADA,43.6142496130166,-116.31237236726328
SR-00175,PIPE-0490,Water,Southwest,No Water,2025-03-08,2025-04-14,Resolved,Low,Phone,43.59993815828927,-116.21941479586371
SR-00176,PIPE-0104,Water,Downtown,Discolored Water,2024-12-08,,Resolved,Critical,Web Form,43.62762922758466,-116.19574886244068
SR-00177,PIPE-0390,Water,East Bench,Hydrant Issue,2024-01-10,2024-02-01,Pending,High,311 App,43.59188538900693,-116.14775972788476
SR-00178,PIPE-0005,Sewer,Southwest,Odor Complaint,2024-07-25,,In Review,High,SCADA,43.571914345482604,-116.21708847572285
SR-00179,PIPE-0169,Water,Southwest,No Water,2025-09-18,,Resolved,Critical,Web Form,43.59406016901006,-116.23045490568994
SR-00180,PIPE-0078,Water,Southwest,Hydrant Issue,2024-12-06,,In Review,Low,SCADA,43.57168821107501,-116.26673001952288
SR-00181,PIPE-0200,Water,Downtown,Hydrant Issue,2025-09-15,2025-10-06,Resolved,Critical,Web Form,43.614143130029305,-116.20961278121531
SR-00182,PIPE-0337,Sewer,Southwest,Odor Complaint,2024-08-22,2024-09-29,Pending,High,311 App,43.55558097127334,-116.29049482341415
SR-00183,PIPE-0071,Sewer,Downtown,Sewer Backup,2025-04-05,,Pending,Low,311 App,43.61701856470976,-116.17590546117617
SR-00184,PIPE-0402,Sewer,East Bench,Root Intrusion Report,2025-07-13,2025-07-15,In Review,High,311 App,43.60940354240336,-116.17467929502685
SR-00185,PIPE-0177,Sewer,Downtown,Sewer Backup,2025-07-19,,Resolved,Critical,Web Form,43.61280294687012,-116.2191175898714
SR-00186,PIPE-0476,Sewer,Downtown,Manhole Overflow,2025-03-15,,Pending,Low,311 App,43.60536350990949,-116.21900235901084
SR-00187,PIPE-0194,Water,Downtown,Water Main Break,2025-11-04,,Pending,Medium,SCADA,43.61321437331036,-116.21363037080141
SR-00188,PIPE-0265,Water,Downtown,Hydrant Issue,2024-10-22,,In Review,Low,311 App,43.601931254421345,-116.19818511536046
SR-00189,PIPE-0410,Water,Southeast,Water Main Break,2024-01-04,2024-01-09,Resolved,Low,SCADA,43.54048411935596,-116.19623514770322
SR-00190,PIPE-0407,Stormwater,West Boise,Standing Water,2025-07-01,2025-07-09,In Review,High,311 App,43.64467903624526,-116.35406687958738
SR-00191,PIPE-0154,Water,Downtown,No Water,2024-07-12,2024-07-29,Resolved,Low,311 App,43.61368116852551,-116.21338459524917
SR-00192,PIPE-0448,Stormwater,Downtown,Erosion Report,2025-12-07,2026-01-07,Resolved,High,SCADA,43.607551661263365,-116.17527039378572
SR-00193,PIPE-0227,Sewer,North End,Manhole Overflow,2025-02-16,,In Review,Critical,311 App,43.64396754906205,-116.17607639496127
SR-00194,PIPE-0391,Sewer,West Boise,Slow Drain,2025-05-21,2025-06-20,Pending,High,Phone,43.6370558821271,-116.26995148207101
SR-00195,PIPE-0099,Sewer,North End,Odor Complaint,2025-08-07,2025-09-19,In Review,High,SCADA,43.64463993068783,-116.1962602487895
