monitor_id,segment_id,system_type,year,month,avg_flow_pct,peak_flow_pct,measurement_type
MON-SEW-03338-2025-03,SEW-03338,Wastewater,2025,3,35.7,59.2,Flow
MON-SEW-03338-2025-04,SEW-03338,Wastewater,2025,4,31.5,55.2,Flow
MON-SEW-03338-2025-05,SEW-03338,Wastewater,2025,5,29.8,45.9,Flow
MON-SEW-03338-2025-06,SEW-03338,Wastewater,2025,6,29.5,52.0,Flow
MON-SEW-03338-2025-07,SEW-03338,Wastewater,2025,7,25.0,42.5,Flow
MON-SEW-03338-2025-08,SEW-03338,Wastewater,2025,8,31.2,45.0,Flow
MON-SEW-03338-2025-09,SEW-03338,Wastewater,2025,9,31.0,40.6,Flow
MON-SEW-03338-2025-10,SEW-03338,Wastewater,2025,10,31.3,55.8,Flow
MON-SEW-03338-2025-11,SEW-03338,Wastewater,2025,11,32.7,44.7,Flow
MON-SEW-03338-2025-12,SEW-03338,Wastewater,2025,12,31.8,47.0,Flow
MON-SEW-00299-2025-01,SEW-00299,Wastewater,2025,1,78.7,95.5,Flow
MON-SEW-00299-2025-02,SEW-00299,Wastewater,2025,2,74.4,122.5,Flow
MON-SEW-00299-2025-03,SEW-00299,Wastewater,2025,3,76.2,130.9,Flow
MON-SEW-00299-2025-04,SEW-00299,Wastewater,2025,4,58.7,71.9,Flow
MON-SEW-00299-2025-05,SEW-00299,Wastewater,2025,5,63.7,90.5,Flow
MON-SEW-00299-2025-06,SEW-00299,Wastewater,2025,6,51.8,73.7,Flow
MON-SEW-00299-2025-07,SEW-00299,Wastewater,2025,7,50.6,64.2,Flow
MON-SEW-00299-2025-08,SEW-00299,Wastewater,2025,8,64.4,97.6,Flow
MON-SEW-00299-2025-09,SEW-00299,Wastewater,2025,9,68.2,98.4,Flow
MON-SEW-00299-2025-10,SEW-00299,Wastewater,2025,10,70.7,109.8,Flow
MON-SEW-00299-2025-11,SEW-00299,Wastewater,2025,11,69.9,117.7,Flow
MON-SEW-00299-2025-12,SEW-00299,Wastewater,2025,12,82.6,124.7,Flow
MON-SEW-01838-2025-01,SEW-01838,Wastewater,2025,1,64.7,87.4,Flow
MON-SEW-01838-2025-02,SEW-01838,Wastewater,2025,2,69.7,119.5,Flow
MON-SEW-01838-2025-03,SEW-01838,Wastewater,2025,3,68.4,91.7,Flow
MON-SEW-01838-2025-04,SEW-01838,Wastewater,2025,4,58.1,96.0,Flow
MON-SEW-01838-2025-05,SEW-01838,Wastewater,2025,5,55.7,72.6,Flow
MON-SEW-01838-2025-06,SEW-01838,Wastewater,2025,6,56.2,76.6,Flow
MON-SEW-01838-2025-07,SEW-01838,Wastewater,2025,7,57.1,78.1,Flow
MON-SEW-01838-2025-08,SEW-01838,Wastewater,2025,8,58.1,82.9,Flow
MON-SEW-01838-2025-09,SEW-01838,Wastewater,2025,9,60.4,85.6,Flow
MON-SEW-01838-2025-10,SEW-01838,Wastewater,2025,10,59.3,79.8,Flow
MON-SEW-01838-2025-11,SEW-01838,Wastewater,2025,11,52.5,83.9,Flow
MON-SEW-01838-2025-12,SEW-01838,Wastewater,2025,12,59.9,106.2,Flow
MON-SEW-04017-2025-01,SEW-04017,Wastewater,2025,1,112.0,138.2,Flow
MON-SEW-04017-2025-02,SEW-04017,Wastewater,2025,2,110.1,150.0,Flow
MON-SEW-04017-2025-03,SEW-04017,Wastewater,2025,3,87.3,149.9,Flow
MON-SEW-04017-2025-04,SEW-04017,Wastewater,2025,4,92.7,127.6,Flow
MON-SEW-04017-2025-05,SEW-04017,Wastewater,2025,5,94.3,150.0,Flow
MON-SEW-04017-2025-06,SEW-04017,Wastewater,2025,6,84.6,141.6,Flow
MON-SEW-04017-2025-07,SEW-04017,Wastewater,2025,7,69.3,116.7,Flow
MON-SEW-04017-2025-08,SEW-04017,Wastewater,2025,8,91.5,117.6,Flow
MON-SEW-04017-2025-09,SEW-04017,Wastewater,2025,9,77.6,126.5,Flow
MON-SEW-04017-2025-10,SEW-04017,Wastewater,2025,10,95.5,150.0,Flow
MON-SEW-04017-2025-11,SEW-04017,Wastewater,2025,11,105.7,142.7,Flow
MON-SEW-04017-2025-12,SEW-04017,Wastewater,2025,12,99.1,119.3,Flow
MON-SEW-00352-2025-01,SEW-00352,Wastewater,2025,1,26.5,39.1,Flow
MON-SEW-00352-2025-02,SEW-00352,Wastewater,2025,2,26.0,34.2,Flow
MON-SEW-00352-2025-03,SEW-00352,Wastewater,2025,3,22.4,37.0,Flow
MON-SEW-00352-2025-04,SEW-00352,Wastewater,2025,4,22.7,33.4,Flow
MON-SEW-00352-2025-05,SEW-00352,Wastewater,2025,5,22.3,37.0,Flow
MON-SEW-00352-2025-06,SEW-00352,Wastewater,2025,6,22.3,38.8,Flow
MON-SEW-00352-2025-07,SEW-00352,Wastewater,2025,7,20.6,25.6,Flow
MON-SEW-00352-2025-08,SEW-00352,Wastewater,2025,8,22.6,29.0,Flow
MON-SEW-00352-2025-09,SEW-00352,Wastewater,2025,9,21.6,37.9,Flow
MON-SEW-00352-2025-10,SEW-00352,Wastewater,2025,10,19.9,33.7,Flow
MON-SEW-00352-2025-11,SEW-00352,Wastewater,2025,11,22.5,28.5,Flow
MON-SEW-00352-2025-12,SEW-00352,Wastewater,2025,12,25.5,38.0,Flow
MON-SEW-03316-2025-01,SEW-03316,Wastewater,2025,1,119.0,150.0,Flow
MON-SEW-03316-2025-02,SEW-03316,Wastewater,2025,2,120.0,150.0,Flow
MON-SEW-03316-2025-03,SEW-03316,Wastewater,2025,3,117.2,146.8,Flow
MON-SEW-03316-2025-04,SEW-03316,Wastewater,2025,4,113.6,150.0,Flow
MON-SEW-03316-2025-05,SEW-03316,Wastewater,2025,5,94.5,113.9,Flow
MON-SEW-03316-2025-06,SEW-03316,Wastewater,2025,6,82.2,99.6,Flow
MON-SEW-03316-2025-07,SEW-03316,Wastewater,2025,7,90.7,124.5,Flow
MON-SEW-03316-2025-08,SEW-03316,Wastewater,2025,8,95.7,118.1,Flow
MON-SEW-03316-2025-09,SEW-03316,Wastewater,2025,9,83.0,135.4,Flow
MON-SEW-03316-2025-10,SEW-03316,Wastewater,2025,10,112.7,150.0,Flow
MON-SEW-03316-2025-11,SEW-03316,Wastewater,2025,11,108.1,150.0,Flow
MON-SEW-03316-2025-12,SEW-03316,Wastewater,2025,12,120.0,150.0,Flow
MON-SEW-02459-2025-01,SEW-02459,Wastewater,2025,1,70.5,112.5,Flow
MON-SEW-02459-2025-02,SEW-02459,Wastewater,2025,2,82.9,126.4,Flow
MON-SEW-02459-2025-03,SEW-02459,Wastewater,2025,3,74.3,93.0,Flow
MON-SEW-02459-2025-04,SEW-02459,Wastewater,2025,4,73.9,113.6,Flow
MON-SEW-02459-2025-05,SEW-02459,Wastewater,2025,5,67.1,87.3,Flow
MON-SEW-02459-2025-06,SEW-02459,Wastewater,2025,6,67.3,96.0,Flow
MON-SEW-02459-2025-07,SEW-02459,Wastewater,2025,7,67.7,101.4,Flow
MON-SEW-02459-2025-08,SEW-02459,Wastewater,2025,8,67.4,111.4,Flow
MON-SEW-02459-2025-09,SEW-02459,Wastewater,2025,9,77.4,117.4,Flow
MON-SEW-02459-2025-10,SEW-02459,Wastewater,2025,10,75.1,132.2,Flow
MON-SEW-02459-2025-11,SEW-02459,Wastewater,2025,11,66.5,112.1,Flow
MON-SEW-02459-2025-12,SEW-02459,Wastewater,2025,12,76.7,131.0,Flow
MON-SEW-01030-2025-01,SEW-01030,Wastewater,2025,1,50.5,65.6,Flow
MON-SEW-01030-2025-02,SEW-01030,Wastewater,2025,2,58.1,95.9,Flow
MON-SEW-01030-2025-03,SEW-01030,Wastewater,2025,3,46.9,77.9,Flow
MON-SEW-01030-2025-04,SEW-01030,Wastewater,2025,4,51.7,86.1,Flow
MON-SEW-01030-2025-05,SEW-01030,Wastewater,2025,5,49.3,81.3,Flow
MON-SEW-01030-2025-06,SEW-01030,Wastewater,2025,6,48.8,64.5,Flow
MON-SEW-01030-2025-07,SEW-01030,Wastewater,2025,7,52.3,68.7,Flow
MON-SEW-01030-2025-08,SEW-01030,Wastewater,2025,8,45.2,73.5,Flow
MON-SEW-01030-2025-09,SEW-01030,Wastewater,2025,9,52.9,73.7,Flow
MON-SEW-01030-2025-10,SEW-01030,Wastewater,2025,10,59.5,101.8,Flow
MON-SEW-01030-2025-11,SEW-01030,Wastewater,2025,11,47.3,73.9,Flow
MON-SEW-01030-2025-12,SEW-01030,Wastewater,2025,12,49.7,62.4,Flow
MON-SEW-02320-2025-01,SEW-02320,Wastewater,2025,1,75.5,133.7,Flow
MON-SEW-02320-2025-02,SEW-02320,Wastewater,2025,2,87.0,148.9,Flow
MON-SEW-02320-2025-03,SEW-02320,Wastewater,2025,3,64.7,107.4,Flow
MON-SEW-02320-2025-04,SEW-02320,Wastewater,2025,4,64.4,107.3,Flow
MON-SEW-02320-2025-05,SEW-02320,Wastewater,2025,5,68.2,119.3,Flow
MON-SEW-02320-2025-06,SEW-02320,Wastewater,2025,6,54.6,79.6,Flow
MON-SEW-02320-2025-07,SEW-02320,Wastewater,2025,7,63.7,83.1,Flow
MON-SEW-02320-2025-08,SEW-02320,Wastewater,2025,8,58.0,85.5,Flow
MON-SEW-02320-2025-09,SEW-02320,Wastewater,2025,9,73.8,115.5,Flow
MON-SEW-02320-2025-10,SEW-02320,Wastewater,2025,10,61.8,94.9,Flow
MON-SEW-02320-2025-11,SEW-02320,Wastewater,2025,11,73.5,110.1,Flow
MON-SEW-02320-2025-12,SEW-02320,Wastewater,2025,12,78.7,133.5,Flow
MON-SEW-01478-2025-01,SEW-01478,Wastewater,2025,1,58.9,89.9,Flow
MON-SEW-01478-2025-02,SEW-01478,Wastewater,2025,2,51.3,90.8,Flow
MON-SEW-01478-2025-03,SEW-01478,Wastewater,2025,3,51.0,84.0,Flow
MON-SEW-01478-2025-04,SEW-01478,Wastewater,2025,4,55.2,85.9,Flow
MON-SEW-01478-2025-05,SEW-01478,Wastewater,2025,5,41.6,50.6,Flow
MON-SEW-01478-2025-06,SEW-01478,Wastewater,2025,6,44.3,74.1,Flow
MON-SEW-01478-2025-07,SEW-01478,Wastewater,2025,7,48.0,61.2,Flow
MON-SEW-01478-2025-08,SEW-01478,Wastewater,2025,8,48.0,79.4,Flow
MON-SEW-01478-2025-09,SEW-01478,Wastewater,2025,9,42.5,71.7,Flow
MON-SEW-01478-2025-10,SEW-01478,Wastewater,2025,10,52.7,77.4,Flow
MON-SEW-01478-2025-11,SEW-01478,Wastewater,2025,11,54.2,91.0,Flow
MON-SEW-01478-2025-12,SEW-01478,Wastewater,2025,12,50.1,78.3,Flow
MON-SEW-03774-2025-01,SEW-03774,Wastewater,2025,1,109.5,143.6,Flow
MON-SEW-03774-2025-02,SEW-03774,Wastewater,2025,2,120.0,150.0,Flow
MON-SEW-03774-2025-03,SEW-03774,Wastewater,2025,3,115.6,140.9,Flow
MON-SEW-03774-2025-04,SEW-03774,Wastewater,2025,4,97.4,148.5,Flow
MON-SEW-03774-2025-05,SEW-03774,Wastewater,2025,5,94.4,150.0,Flow
MON-SEW-03774-2025-06,SEW-03774,Wastewater,2025,6,78.6,112.5,Flow
MON-SEW-03774-2025-07,SEW-03774,Wastewater,2025,7,92.7,148.7,Flow
MON-SEW-03774-2025-08,SEW-03774,Wastewater,2025,8,97.8,149.1,Flow
MON-SEW-03774-2025-09,SEW-03774,Wastewater,2025,9,103.3,150.0,Flow
MON-SEW-03774-2025-10,SEW-03774,Wastewater,2025,10,103.0,130.0,Flow
MON-SEW-03774-2025-11,SEW-03774,Wastewater,2025,11,116.1,147.4,Flow
MON-SEW-03774-2025-12,SEW-03774,Wastewater,2025,12,100.6,127.7,Flow
MON-SEW-02903-2025-01,SEW-02903,Wastewater,2025,1,47.9,68.6,Flow
MON-SEW-02903-2025-02,SEW-02903,Wastewater,2025,2,45.5,77.8,Flow
MON-SEW-02903-2025-03,SEW-02903,Wastewater,2025,3,44.2,65.7,Flow
MON-SEW-02903-2025-04,SEW-02903,Wastewater,2025,4,42.6,69.5,Flow
MON-SEW-02903-2025-05,SEW-02903,Wastewater,2025,5,34.0,52.1,Flow
MON-SEW-02903-2025-06,SEW-02903,Wastewater,2025,6,31.7,41.2,Flow
MON-SEW-02903-2025-07,SEW-02903,Wastewater,2025,7,40.4,66.9,Flow
MON-SEW-02903-2025-08,SEW-02903,Wastewater,2025,8,37.9,59.5,Flow
MON-SEW-02903-2025-09,SEW-02903,Wastewater,2025,9,33.0,43.4,Flow
MON-SEW-02903-2025-10,SEW-02903,Wastewater,2025,10,38.1,52.1,Flow
MON-SEW-02903-2025-11,SEW-02903,Wastewater,2025,11,40.7,51.2,Flow
MON-SEW-02903-2025-12,SEW-02903,Wastewater,2025,12,43.5,67.5,Flow
MON-SEW-02293-2025-01,SEW-02293,Wastewater,2025,1,29.7,46.9,Flow
MON-SEW-02293-2025-02,SEW-02293,Wastewater,2025,2,29.1,49.8,Flow
MON-SEW-02293-2025-03,SEW-02293,Wastewater,2025,3,31.5,45.9,Flow
MON-SEW-02293-2025-04,SEW-02293,Wastewater,2025,4,25.7,37.6,Flow
MON-SEW-02293-2025-05,SEW-02293,Wastewater,2025,5,25.9,41.5,Flow
MON-SEW-02293-2025-06,SEW-02293,Wastewater,2025,6,20.6,34.3,Flow
MON-SEW-02293-2025-07,SEW-02293,Wastewater,2025,7,22.0,26.5,Flow
MON-SEW-02293-2025-08,SEW-02293,Wastewater,2025,8,21.6,38.8,Flow
MON-SEW-02293-2025-09,SEW-02293,Wastewater,2025,9,25.1,35.7,Flow
MON-SEW-02293-2025-10,SEW-02293,Wastewater,2025,10,28.6,38.3,Flow
MON-SEW-02293-2025-11,SEW-02293,Wastewater,2025,11,30.5,47.7,Flow
MON-SEW-02293-2025-12,SEW-02293,Wastewater,2025,12,24.8,44.0,Flow
MON-SEW-03572-2025-01,SEW-03572,Wastewater,2025,1,78.6,118.7,Flow
MON-SEW-03572-2025-02,SEW-03572,Wastewater,2025,2,93.3,120.2,Flow
MON-SEW-03572-2025-03,SEW-03572,Wastewater,2025,3,88.4,123.9,Flow
MON-SEW-03572-2025-04,SEW-03572,Wastewater,2025,4,79.5,136.6,Flow
MON-SEW-03572-2025-05,SEW-03572,Wastewater,2025,5,79.7,137.8,Flow
MON-SEW-03572-2025-06,SEW-03572,Wastewater,2025,6,61.4,108.4,Flow
MON-SEW-03572-2025-07,SEW-03572,Wastewater,2025,7,72.0,103.1,Flow
MON-SEW-03572-2025-08,SEW-03572,Wastewater,2025,8,80.4,97.8,Flow
MON-SEW-03572-2025-09,SEW-03572,Wastewater,2025,9,85.4,107.3,Flow
MON-SEW-03572-2025-10,SEW-03572,Wastewater,2025,10,82.2,122.1,Flow
MON-SEW-03572-2025-11,SEW-03572,Wastewater,2025,11,75.7,122.7,Flow
MON-SEW-03572-2025-12,SEW-03572,Wastewater,2025,12,95.4,150.0,Flow
MON-SEW-00498-2025-01,SEW-00498,Wastewater,2025,1,97.8,150.0,Flow
MON-SEW-00498-2025-02,SEW-00498,Wastewater,2025,2,88.0,108.0,Flow
MON-SEW-00498-2025-03,SEW-00498,Wastewater,2025,3,93.3,148.3,Flow
MON-SEW-00498-2025-04,SEW-00498,Wastewater,2025,4,74.2,129.9,Flow
MON-SEW-00498-2025-05,SEW-00498,Wastewater,2025,5,76.2,114.7,Flow
MON-SEW-00498-2025-06,SEW-00498,Wastewater,2025,6,61.8,100.9,Flow
MON-SEW-00498-2025-07,SEW-00498,Wastewater,2025,7,72.4,92.3,Flow
MON-SEW-00498-2025-08,SEW-00498,Wastewater,2025,8,77.5,108.3,Flow
MON-SEW-00498-2025-09,SEW-00498,Wastewater,2025,9,72.6,91.3,Flow
MON-SEW-00498-2025-10,SEW-00498,Wastewater,2025,10,88.8,116.6,Flow
MON-SEW-00498-2025-11,SEW-00498,Wastewater,2025,11,92.2,122.0,Flow
MON-SEW-00498-2025-12,SEW-00498,Wastewater,2025,12,93.4,150.0,Flow
MON-SEW-01996-2025-01,SEW-01996,Wastewater,2025,1,78.4,132.5,Flow
MON-SEW-01996-2025-02,SEW-01996,Wastewater,2025,2,85.8,125.5,Flow
MON-SEW-01996-2025-03,SEW-01996,Wastewater,2025,3,86.6,150.0,Flow
MON-SEW-01996-2025-04,SEW-01996,Wastewater,2025,4,85.4,117.6,Flow
MON-SEW-01996-2025-05,SEW-01996,Wastewater,2025,5,78.1,114.2,Flow
MON-SEW-01996-2025-06,SEW-01996,Wastewater,2025,6,76.9,128.4,Flow
MON-SEW-01996-2025-07,SEW-01996,Wastewater,2025,7,67.5,104.7,Flow
MON-SEW-01996-2025-08,SEW-01996,Wastewater,2025,8,77.1,128.9,Flow
MON-SEW-01996-2025-09,SEW-01996,Wastewater,2025,9,69.7,105.2,Flow
MON-SEW-01996-2025-10,SEW-01996,Wastewater,2025,10,76.9,127.6,Flow
MON-SEW-01996-2025-11,SEW-01996,Wastewater,2025,11,73.5,126.8,Flow
MON-SEW-01996-2025-12,SEW-01996,Wastewater,2025,12,86.7,110.5,Flow
MON-SEW-00735-2025-01,SEW-00735,Wastewater,2025,1,94.9,150.0,Flow
MON-SEW-00735-2025-02,SEW-00735,Wastewater,2025,2,87.1,144.4,Flow
MON-SEW-00735-2025-03,SEW-00735,Wastewater,2025,3,96.4,150.0,Flow
MON-SEW-00735-2025-04,SEW-00735,Wastewater,2025,4,93.4,122.1,Flow
MON-SEW-00735-2025-05,SEW-00735,Wastewater,2025,5,81.8,145.8,Flow
MON-SEW-00735-2025-06,SEW-00735,Wastewater,2025,6,80.1,99.3,Flow
MON-SEW-00735-2025-07,SEW-00735,Wastewater,2025,7,66.7,86.0,Flow
MON-SEW-00735-2025-08,SEW-00735,Wastewater,2025,8,69.1,122.0,Flow
MON-SEW-00735-2025-09,SEW-00735,Wastewater,2025,9,67.2,98.3,Flow
MON-SEW-00735-2025-10,SEW-00735,Wastewater,2025,10,69.9,123.4,Flow
MON-SEW-00735-2025-11,SEW-00735,Wastewater,2025,11,85.4,146.1,Flow
MON-SEW-00735-2025-12,SEW-00735,Wastewater,2025,12,92.5,131.9,Flow
MON-SEW-03253-2025-01,SEW-03253,Wastewater,2025,1,98.1,132.9,Flow
MON-SEW-03253-2025-02,SEW-03253,Wastewater,2025,2,96.8,150.0,Flow
MON-SEW-03253-2025-03,SEW-03253,Wastewater,2025,3,116.1,150.0,Flow
MON-SEW-03253-2025-04,SEW-03253,Wastewater,2025,4,87.6,111.7,Flow
MON-SEW-03253-2025-05,SEW-03253,Wastewater,2025,5,87.4,150.0,Flow
MON-SEW-03253-2025-06,SEW-03253,Wastewater,2025,6,96.2,150.0,Flow
MON-SEW-03253-2025-07,SEW-03253,Wastewater,2025,7,76.7,126.6,Flow
MON-SEW-03253-2025-08,SEW-03253,Wastewater,2025,8,83.7,138.2,Flow
MON-SEW-03253-2025-09,SEW-03253,Wastewater,2025,9,84.5,133.4,Flow
MON-SEW-03253-2025-10,SEW-03253,Wastewater,2025,10,93.9,120.3,Flow
MON-SEW-03253-2025-11,SEW-03253,Wastewater,2025,11,103.6,150.0,Flow
MON-SEW-03253-2025-12,SEW-03253,Wastewater,2025,12,90.1,119.3,Flow
MON-SEW-01048-2025-01,SEW-01048,Wastewater,2025,1,74.0,92.5,Flow
MON-SEW-01048-2025-02,SEW-01048,Wastewater,2025,2,72.3,102.2,Flow
MON-SEW-01048-2025-03,SEW-01048,Wastewater,2025,3,69.5,121.5,Flow
MON-SEW-01048-2025-04,SEW-01048,Wastewater,2025,4,62.1,89.5,Flow
MON-SEW-01048-2025-05,SEW-01048,Wastewater,2025,5,64.4,114.4,Flow
MON-SEW-01048-2025-06,SEW-01048,Wastewater,2025,6,54.6,97.9,Flow
MON-SEW-01048-2025-07,SEW-01048,Wastewater,2025,7,53.6,74.8,Flow
MON-SEW-01048-2025-08,SEW-01048,Wastewater,2025,8,59.3,85.9,Flow
MON-SEW-01048-2025-09,SEW-01048,Wastewater,2025,9,62.5,80.1,Flow
MON-SEW-01048-2025-10,SEW-01048,Wastewater,2025,10,62.1,92.0,Flow
MON-SEW-01048-2025-11,SEW-01048,Wastewater,2025,11,57.0,101.6,Flow
MON-SEW-01048-2025-12,SEW-01048,Wastewater,2025,12,66.2,115.4,Flow
MON-SEW-01033-2025-01,SEW-01033,Wastewater,2025,1,37.1,53.1,Flow
MON-SEW-01033-2025-02,SEW-01033,Wastewater,2025,2,30.2,38.1,Flow
MON-SEW-01033-2025-03,SEW-01033,Wastewater,2025,3,32.1,55.5,Flow
MON-SEW-01033-2025-04,SEW-01033,Wastewater,2025,4,31.5,54.9,Flow
MON-SEW-01033-2025-05,SEW-01033,Wastewater,2025,5,25.9,35.8,Flow
MON-SEW-01033-2025-06,SEW-01033,Wastewater,2025,6,26.9,37.2,Flow
MON-SEW-01033-2025-07,SEW-01033,Wastewater,2025,7,23.1,35.8,Flow
MON-SEW-01033-2025-08,SEW-01033,Wastewater,2025,8,28.9,35.0,Flow
MON-SEW-01033-2025-09,SEW-01033,Wastewater,2025,9,29.0,50.3,Flow
MON-SEW-01033-2025-10,SEW-01033,Wastewater,2025,10,30.1,48.0,Flow
MON-SEW-01033-2025-11,SEW-01033,Wastewater,2025,11,33.9,43.6,Flow
MON-SEW-01033-2025-12,SEW-01033,Wastewater,2025,12,36.1,60.5,Flow
MON-SEW-02654-2025-01,SEW-02654,Wastewater,2025,1,11.5,15.0,Flow
MON-SEW-02654-2025-02,SEW-02654,Wastewater,2025,2,11.5,17.7,Flow
MON-SEW-02654-2025-03,SEW-02654,Wastewater,2025,3,8.8,12.8,Flow
MON-SEW-02654-2025-04,SEW-02654,Wastewater,2025,4,9.1,11.3,Flow
MON-SEW-02654-2025-05,SEW-02654,Wastewater,2025,5,9.6,15.0,Flow
MON-SEW-02654-2025-06,SEW-02654,Wastewater,2025,6,9.9,14.3,Flow
MON-SEW-02654-2025-07,SEW-02654,Wastewater,2025,7,7.7,13.7,Flow
MON-SEW-02654-2025-08,SEW-02654,Wastewater,2025,8,8.2,11.7,Flow
MON-SEW-02654-2025-09,SEW-02654,Wastewater,2025,9,9.0,10.8,Flow
MON-SEW-02654-2025-10,SEW-02654,Wastewater,2025,10,10.0,12.1,Flow
MON-SEW-02654-2025-11,SEW-02654,Wastewater,2025,11,10.7,17.4,Flow
MON-SEW-02654-2025-12,SEW-02654,Wastewater,2025,12,11.2,18.7,Flow
MON-SEW-02461-2025-01,SEW-02461,Wastewater,2025,1,16.6,24.4,Flow
MON-SEW-02461-2025-02,SEW-02461,Wastewater,2025,2,14.4,21.4,Flow
MON-SEW-02461-2025-03,SEW-02461,Wastewater,2025,3,12.6,17.2,Flow
MON-SEW-02461-2025-04,SEW-02461,Wastewater,2025,4,14.9,21.9,Flow
MON-SEW-02461-2025-05,SEW-02461,Wastewater,2025,5,14.2,24.3,Flow
MON-SEW-02461-2025-06,SEW-02461,Wastewater,2025,6,11.8,14.4,Flow
MON-SEW-02461-2025-07,SEW-02461,Wastewater,2025,7,11.1,14.0,Flow
MON-SEW-02461-2025-08,SEW-02461,Wastewater,2025,8,14.0,22.9,Flow
MON-SEW-02461-2025-09,SEW-02461,Wastewater,2025,9,12.0,15.6,Flow
MON-SEW-02461-2025-10,SEW-02461,Wastewater,2025,10,13.8,20.0,Flow
MON-SEW-02461-2025-11,SEW-02461,Wastewater,2025,11,13.7,18.2,Flow
MON-SEW-02461-2025-12,SEW-02461,Wastewater,2025,12,14.9,20.7,Flow
MON-SEW-03726-2025-01,SEW-03726,Wastewater,2025,1,49.6,60.0,Flow
MON-SEW-03726-2025-02,SEW-03726,Wastewater,2025,2,56.3,96.4,Flow
MON-SEW-03726-2025-03,SEW-03726,Wastewater,2025,3,53.6,86.8,Flow
MON-SEW-03726-2025-04,SEW-03726,Wastewater,2025,4,48.9,83.4,Flow
MON-SEW-03726-2025-05,SEW-03726,Wastewater,2025,5,48.6,81.9,Flow
MON-SEW-03726-2025-06,SEW-03726,Wastewater,2025,6,43.6,73.9,Flow
MON-SEW-03726-2025-07,SEW-03726,Wastewater,2025,7,34.7,42.2,Flow
MON-SEW-03726-2025-08,SEW-03726,Wastewater,2025,8,42.6,54.9,Flow
MON-SEW-03726-2025-09,SEW-03726,Wastewater,2025,9,40.0,69.3,Flow
