segment_id,system_type,corridor_name,district,pipe_class,pipe_material,diameter_inches,length_ft,depth_ft,install_year,asset_age_years,condition_score,breaks_last_5yr,soil_corrosivity,capacity_utilization_pct,ii_risk_flag,criticality_class,estimated_replacement_cost_usd,last_inspection_date,inspection_method,lat,lon
SEW-00011,Wastewater,Idaho St,Downtown,lateral,Vitrified Clay,15,1763,10.0,1949,77,48,5,0.78,100.0,True,Low,617414,2025-04-12,Dye Test,43.614575,-116.204556
SEW-00012,Wastewater,Franklin Rd,West Boise,collector,PVC,18,656,5.1,2007,19,84,0,0.5,58.8,False,Low,300990,2023-02-11,Smoke Test,43.605761,-116.317347
SEW-00013,Wastewater,Five Mile Rd,Southwest,collector,Orangeburg,18,2279,20.3,1961,65,54,2,0.6,33.1,True,Low,849125,2022-12-12,CCTV,43.583718,-116.297083
SEW-00014,Wastewater,Amity Rd,Southwest,collector,PVC,21,279,24.7,2010,16,98,0,0.6,60.8,False,High,149778,2024-07-27,Dye Test,43.550671,-116.285962
SEW-00015,Wastewater,Myrtle St,Downtown,collector,Vitrified Clay,21,483,7.5,1930,96,44,7,0.78,81.2,True,Low,223220,2024-12-29,Manhole Inspection,43.609868,-116.197384
SEW-00016,Wastewater,Maple Grove Rd,Southwest,collector,Concrete,21,1067,18.8,1993,33,75,0,0.6,52.4,False,Medium,521953,2023-10-30,Flow Monitoring,43.6,-116.274468
SEW-00017,Wastewater,Maple Grove Rd,Southwest,collector,PVC,12,1215,16.8,1983,43,90,0,0.6,67.3,False,High,233335,2025-07-10,CCTV,43.552976,-116.276971
SEW-00018,Wastewater,15th St,North End,lateral,Vitrified Clay,10,328,9.8,1929,97,34,5,0.72,47.9,True,High,113335,2025-03-07,Dye Test,43.673771,-116.210575
SEW-00019,Wastewater,Curtis Rd,Southwest,lateral,PVC,24,1195,8.8,1985,41,88,0,0.6,52.4,False,Medium,225532,2023-07-19,Flow Monitoring,43.6,-116.220155
SEW-00020,Wastewater,Eisenman Rd,Southeast,collector,Ductile Iron,12,448,22.2,1993,33,89,1,0.55,19.3,False,High,89359,2023-05-29,Smoke Test,43.54221,-116.170964
SEW-00021,Wastewater,Milwaukee St,Southeast,lateral,Ductile Iron,10,1340,6.5,1966,60,84,1,0.55,85.1,False,Low,533073,2025-05-16,CCTV,43.56201,-116.2
SEW-00022,Wastewater,McMillan Rd,West Boise,collector,PVC,12,582,8.3,2024,2,89,0,0.5,29.8,False,High,171257,2023-09-03,CCTV,43.645558,-116.282104
SEW-00023,Wastewater,Broadway Ave,Downtown,trunk,Concrete,24,1799,14.1,1979,47,70,1,0.78,61.2,False,Medium,658642,2022-10-21,Flow Monitoring,43.6,-116.186296
SEW-00024,Wastewater,Lander St,Downtown,trunk,Vitrified Clay,36,1091,15.8,1937,89,43,8,0.78,75.1,True,Critical,749088,2023-04-01,Dye Test,43.603812,-116.217666
SEW-00025,Wastewater,Maple Grove Rd,Southwest,collector,Concrete,12,2280,16.9,1965,61,75,3,0.6,56.3,False,High,843793,2025-04-01,Dye Test,43.541409,-116.277885
SEW-00026,Wastewater,Bogus Basin Rd,North End,lateral,Vitrified Clay,15,362,16.7,1962,64,58,4,0.72,99.9,True,Low,121969,2024-10-10,Manhole Inspection,43.669775,-116.198231
SEW-00027,Wastewater,Bogus Basin Rd,North End,lateral,Vitrified Clay,15,1821,14.1,1941,85,54,10,0.72,86.5,True,Low,936088,2025-11-13,Flow Monitoring,43.650235,-116.18918
SEW-00028,Wastewater,Fairview Ave,West Boise,trunk,PVC,24,2402,23.7,1996,30,87,1,0.5,25.3,False,Medium,1477686,2023-11-07,Manhole Inspection,43.614279,-116.313784
SEW-00029,Wastewater,Broadway Ave,Downtown,trunk,Ductile Iron,48,1439,18.1,1983,43,87,1,0.78,69.7,False,Medium,308678,2024-03-29,CCTV,43.620934,-116.185077
SEW-00030,Wastewater,Jefferson St,Downtown,collector,Vitrified Clay,12,638,10.6,1941,85,45,3,0.78,62.6,True,Medium,117552,2024-06-10,Dye Test,43.617455,-116.22
SEW-00031,Wastewater,Orchard St,Southeast,collector,Orangeburg,12,578,5.9,1971,55,62,6,0.55,73.3,True,High,134918,2024-06-14,Smoke Test,43.593743,-116.2
SEW-00032,Wastewater,Joplin Rd,West Boise,trunk,PVC,48,1951,23.9,2018,8,100,0,0.5,41.7,False,Critical,1527493,2025-09-20,Manhole Inspection,43.614873,-116.312329
SEW-00033,Wastewater,Victory Rd,Southwest,collector,Concrete,15,1960,23.0,1990,36,86,1,0.6,45.4,False,Low,893974,2023-12-01,Smoke Test,43.567765,-116.295339
SEW-00034,Wastewater,State St,West Boise,collector,PVC,12,1648,13.1,2005,21,96,0,0.5,50.1,False,High,573940,2024-08-05,Smoke Test,43.638681,-116.249269
SEW-00035,Wastewater,Harrison Blvd,North End,collector,Concrete,12,934,23.6,1951,75,64,5,0.72,61.1,False,Low,393115,2024-07-12,Manhole Inspection,43.661925,-116.201007
SEW-00036,Wastewater,Broadway Ave,Downtown,trunk,Concrete,42,358,21.3,1961,65,86,2,0.78,77.8,False,High,193259,2024-08-23,Smoke Test,43.626,-116.189665
SEW-00037,Wastewater,Capitol Blvd,Downtown,trunk,Vitrified Clay,42,1544,20.5,1937,89,40,5,0.78,62.6,True,High,705408,2022-11-30,Manhole Inspection,43.6,-116.203583
SEW-00038,Wastewater,Capitol Blvd,Downtown,trunk,Vitrified Clay,36,931,5.8,1932,94,32,6,0.78,97.6,True,High,542252,2024-02-29,Flow Monitoring,43.617447,-116.198099
SEW-00039,Wastewater,Amity Rd,Southwest,collector,PVC,12,1777,5.9,2022,4,100,0,0.6,51.4,False,Medium,487649,2022-11-26,Smoke Test,43.555397,-116.299794
SEW-00040,Wastewater,Shaw Mountain Rd,East Bench,lateral,Ductile Iron,12,486,17.5,1982,44,87,0,0.45,48.7,False,High,177562,2024-03-27,Dye Test,43.622955,-116.138169
SEW-00041,Wastewater,Warm Springs Ave,East Bench,collector,Vitrified Clay,18,1848,8.8,1951,75,44,3,0.45,100.0,True,Medium,798052,2024-12-11,Dye Test,43.609183,-116.160647
SEW-00042,Wastewater,Curtis Rd,Southwest,lateral,Concrete,15,1863,10.7,1974,52,83,1,0.6,89.7,False,Medium,552251,2024-02-12,Flow Monitoring,43.583835,-116.224998
SEW-00043,Wastewater,Gowen Rd,Southeast,lateral,PVC,10,1075,24.2,2018,8,94,0,0.55,73.7,False,Medium,398525,2024-04-30,Dye Test,43.543067,-116.134501
SEW-00044,Wastewater,Chinden Blvd,West Boise,collector,PVC,12,1162,9.0,2011,15,86,0,0.5,38.1,False,High,127552,2023-04-04,Dye Test,43.654037,-116.332029
SEW-00045,Wastewater,Idaho St,Downtown,lateral,Vitrified Clay,12,1897,19.4,1954,72,45,6,0.78,80.4,True,Medium,481062,2025-02-03,CCTV,43.616317,-116.195946
SEW-00046,Wastewater,Franklin Rd,West Boise,collector,PVC,21,1096,15.4,1996,30,93,1,0.5,33.1,False,High,167151,2025-03-29,Flow Monitoring,43.605055,-116.253363
SEW-00047,Wastewater,Jefferson St,Downtown,collector,Vitrified Clay,24,2489,22.8,1954,72,44,6,0.78,100.0,True,Low,1168045,2023-02-03,Flow Monitoring,43.616573,-116.175
SEW-00048,Wastewater,Overland Rd,Southwest,trunk,PVC,30,2144,21.8,1983,43,88,0,0.6,63.7,False,Medium,696422,2023-03-16,Smoke Test,43.5877,-116.249858
SEW-00049,Wastewater,28th St,North End,lateral,Concrete,6,517,11.7,1953,73,70,0,0.72,93.3,False,High,193829,2025-01-28,Smoke Test,43.667084,-116.216593
SEW-00050,Wastewater,Vista Ave,Southeast,collector,Concrete,15,463,14.3,1964,62,83,2,0.55,65.5,False,Low,63036,2023-09-27,Dye Test,43.568189,-116.2
SEW-00051,Wastewater,Eagle Rd,West Boise,trunk,PVC,48,1758,11.0,1991,35,98,1,0.5,51.0,False,Medium,936080,2023-07-28,Dye Test,43.623158,-116.351344
SEW-00052,Wastewater,Joplin Rd,West Boise,trunk,PVC,48,1103,14.7,2024,2,92,0,0.5,60.9,False,Medium,586276,2023-08-27,Smoke Test,43.609058,-116.311362
SEW-00053,Wastewater,Eisenman Rd,Southeast,collector,Ductile Iron,24,2387,16.3,1998,28,96,1,0.55,32.1,False,Medium,359824,2025-02-28,Flow Monitoring,43.54,-116.170636
SEW-00054,Wastewater,Harrison Blvd,North End,collector,Cast Iron,18,1752,11.8,1928,98,43,5,0.72,78.4,True,Medium,934149,2023-07-23,Manhole Inspection,43.629188,-116.200272
SEW-00055,Wastewater,Myrtle St,Downtown,collector,Vitrified Clay,12,2409,9.5,1955,71,62,7,0.78,97.2,True,Low,307020,2025-09-11,CCTV,43.604313,-116.175
SEW-00056,Wastewater,Bogus Basin Rd,North End,lateral,Vitrified Clay,8,283,14.5,1937,89,24,6,0.72,100.0,True,Low,36299,2023-04-25,Manhole Inspection,43.669853,-116.205458
SEW-00057,Wastewater,Shaw Mountain Rd,East Bench,lateral,Vitrified Clay,15,669,11.2,1965,61,54,4,0.45,64.2,True,Low,241714,2023-10-26,Flow Monitoring,43.616112,-116.168449
SEW-00058,Wastewater,Cloverdale Rd,West Boise,collector,Ductile Iron,12,1194,22.0,2002,24,81,1,0.5,36.2,False,High,406156,2022-09-30,CCTV,43.6,-116.334365
SEW-00059,Wastewater,Boise Ave,East Bench,collector,PVC,21,1717,5.3,1989,37,90,0,0.45,59.9,False,Medium,584449,2023-06-29,Manhole Inspection,43.597414,-116.160197
SEW-00060,Wastewater,Ustick Rd,West Boise,collector,PVC,15,1983,18.0,2019,7,100,0,0.5,53.9,False,Low,748657,2023-03-18,Flow Monitoring,43.631057,-116.29826
SEW-00061,Wastewater,Milwaukee St,Southeast,lateral,Ductile Iron,10,1299,23.7,1992,34,88,0,0.55,52.8,False,Medium,258341,2023-04-26,Dye Test,43.550784,-116.2
SEW-00062,Wastewater,Fairview Ave,West Boise,trunk,HDPE,36,317,14.8,2014,12,97,0,0.5,40.2,False,Critical,131909,2024-05-09,Dye Test,43.615966,-116.308999
SEW-00063,Wastewater,Eagle Rd,West Boise,trunk,PVC,48,241,9.8,2007,19,94,0,0.5,49.0,False,High,131621,2024-07-28,Flow Monitoring,43.62633,-116.355854
SEW-00064,Wastewater,McMillan Rd,West Boise,collector,PVC,21,270,18.8,2021,5,100,0,0.5,26.2,False,Medium,76289,2023-04-08,Dye Test,43.640558,-116.332272
SEW-00065,Wastewater,Maple Grove Rd,Southwest,collector,Ductile Iron,21,2454,10.4,1977,49,93,0,0.6,45.5,False,High,625065,2024-11-03,Manhole Inspection,43.561463,-116.274783
SEW-00066,Wastewater,9th St,Downtown,lateral,Vitrified Clay,12,958,10.5,1959,67,58,8,0.78,45.4,True,Low,321729,2024-05-02,CCTV,43.6,-116.197568
SEW-00067,Wastewater,Fort St,North End,lateral,Concrete,18,1131,19.2,1943,83,62,2,0.72,100.0,False,Critical,201032,2025-08-13,Dye Test,43.637165,-116.220819
SEW-00068,Wastewater,Resseguie St,North End,lateral,Vitrified Clay,10,2210,10.7,1933,93,39,12,0.72,58.2,True,Medium,605532,2025-08-19,Manhole Inspection,43.634616,-116.23
SEW-00069,Wastewater,Victory Rd,Southeast,collector,Concrete,12,1841,18.7,1962,64,74,0,0.55,31.2,False,Low,295831,2024-03-20,CCTV,43.56995,-116.188838
SEW-00070,Wastewater,Bogus Basin Rd,North End,lateral,Cast Iron,12,2485,20.8,1932,94,41,11,0.72,57.8,True,Medium,472833,2023-05-25,Flow Monitoring,43.675578,-116.190747
SEW-00071,Wastewater,Warm Springs Ave,East Bench,collector,Vitrified Clay,21,1450,24.2,1962,64,66,2,0.45,93.8,True,Low,257245,2024-09-26,Manhole Inspection,43.608412,-116.175
SEW-00072,Wastewater,Chinden Blvd,West Boise,collector,PVC,15,1182,5.1,1995,31,81,0,0.5,66.0,False,Medium,361005,2024-04-15,CCTV,43.651043,-116.343995
SEW-00073,Wastewater,15th St,North End,lateral,Concrete,10,1358,18.7,1943,83,82,4,0.72,79.3,False,Low,599408,2024-10-23,Flow Monitoring,43.661239,-116.208276
SEW-00074,Wastewater,9th St,Downtown,lateral,Orangeburg,12,1120,21.5,1959,67,55,5,0.78,48.0,True,High,143991,2024-03-13,Dye Test,43.624811,-116.19655
SEW-00075,Wastewater,Joplin Rd,West Boise,trunk,PVC,42,709,13.1,2008,18,97,0,0.5,23.1,False,High,281407,2023-06-20,CCTV,43.607496,-116.311175
SEW-00076,Wastewater,Amity Rd,Southwest,collector,PVC,21,1520,9.6,1992,34,92,0,0.6,57.2,False,Low,713706,2025-10-21,Manhole Inspection,43.553622,-116.312931
SEW-00077,Wastewater,Curtis Rd,Southwest,lateral,Vitrified Clay,8,917,23.3,1957,69,46,3,0.6,49.9,True,Medium,139277,2023-03-01,CCTV,43.57764,-116.221091
SEW-00078,Wastewater,Victory Rd,Southeast,collector,PVC,21,1565,8.2,1977,49,100,0,0.55,60.6,False,Medium,526021,2023-09-04,Dye Test,43.568926,-116.2
SEW-00079,Wastewater,Front St,Downtown,collector,Concrete,12,1488,20.5,1954,72,69,2,0.78,81.9,False,Low,663594,2025-11-30,Dye Test,43.604514,-116.22
SEW-00080,Wastewater,Eisenman Rd,Southeast,collector,PVC,12,968,15.0,2016,10,100,0,0.55,53.6,False,Critical,267958,2024-06-04,Dye Test,43.551475,-116.169264
SEW-00081,Wastewater,Jefferson St,Downtown,collector,Vitrified Clay,21,2185,17.2,1943,83,40,5,0.78,36.6,True,High,543110,2022-10-31,CCTV,43.613729,-116.175
SEW-00082,Wastewater,Overland Rd,Southwest,trunk,Concrete,24,1120,14.2,1981,45,82,1,0.6,77.4,False,Medium,223889,2023-02-16,Manhole Inspection,43.590954,-116.236966
SEW-00083,Wastewater,Five Mile Rd,Southwest,collector,Concrete,21,2176,16.0,1972,54,68,0,0.6,63.7,False,Low,700371,2023-01-27,Smoke Test,43.6,-116.296538
SEW-00084,Wastewater,Idaho St,Downtown,lateral,Vitrified Clay,6,1899,10.3,1942,84,34,7,0.78,66.2,True,Low,157315,2023-03-06,Smoke Test,43.613039,-116.178983
SEW-00085,Wastewater,Gowen Rd,Southeast,lateral,PVC,12,2183,15.9,2024,2,93,0,0.55,68.5,False,Medium,615906,2024-11-11,Smoke Test,43.542071,-116.153847
SEW-00086,Wastewater,Curtis Rd,Southwest,lateral,PVC,10,1156,11.4,1979,47,97,0,0.6,94.4,False,Low,314245,2023-10-14,Flow Monitoring,43.6,-116.222535
SEW-00087,Wastewater,Chinden Blvd,West Boise,collector,Ductile Iron,21,351,11.6,1999,27,76,0,0.5,50.1,False,Low,62472,2025-05-12,Dye Test,43.650757,-116.272772
SEW-00088,Wastewater,Eisenman Rd,Southeast,collector,PVC,15,1879,6.5,1990,36,88,0,0.55,31.2,False,Medium,845070,2023-09-10,CCTV,43.579675,-116.16718
SEW-00089,Wastewater,Parkcenter Blvd,East Bench,trunk,PVC,42,1497,14.8,1989,37,92,0,0.45,45.0,False,High,899954,2024-08-09,Manhole Inspection,43.607144,-116.175
SEW-00090,Wastewater,15th St,North End,lateral,Cast Iron,8,1977,19.1,1930,96,38,10,0.72,76.5,True,High,243919,2024-03-29,CCTV,43.68,-116.206438
SEW-00091,Wastewater,Front St,Downtown,collector,Vitrified Clay,12,1401,9.9,1945,81,45,5,0.78,28.7,True,Low,371013,2024-11-29,Smoke Test,43.605151,-116.210545
SEW-00092,Wastewater,Harrison Blvd,North End,collector,Vitrified Clay,24,1766,23.3,1930,96,30,6,0.72,78.9,True,Medium,377669,2024-06-30,Flow Monitoring,43.652577,-116.201555
SEW-00093,Wastewater,Eastman St,North End,lateral,Vitrified Clay,18,2105,8.2,1925,101,27,9,0.72,100.0,True,Medium,687275,2024-03-30,Flow Monitoring,43.643407,-116.188791
SEW-00094,Wastewater,Eagle Rd,West Boise,trunk,Ductile Iron,42,1437,14.7,2006,20,96,0,0.5,44.6,False,High,532087,2024-04-06,Manhole Inspection,43.600937,-116.354692
SEW-00095,Wastewater,Capitol Blvd,Downtown,trunk,Concrete,36,233,19.9,1950,76,70,0,0.78,70.2,False,High,47937,2023-02-19,Manhole Inspection,43.616274,-116.199885
SEW-00096,Wastewater,15th St,North End,lateral,Concrete,15,1643,10.0,1963,63,61,2,0.72,84.5,False,Low,720343,2025-02-25,CCTV,43.626,-116.209859
SEW-00097,Wastewater,Ustick Rd,West Boise,collector,PVC,18,2005,7.6,1992,34,88,0,0.5,5.0,False,Medium,1097425,2023-08-05,Smoke Test,43.6302,-116.310811
SEW-00098,Wastewater,Fort St,North End,lateral,Vitrified Clay,12,2409,15.0,1933,93,39,8,0.72,74.1,True,High,503507,2023-03-22,Manhole Inspection,43.640259,-116.215731
SEW-00099,Wastewater,Joplin Rd,West Boise,trunk,PVC,24,2118,24.3,2011,15,99,0,0.5,80.9,False,Medium,1279095,2023-09-11,Dye Test,43.647031,-116.312155
SEW-00100,Wastewater,Shaw Mountain Rd,East Bench,lateral,Concrete,8,1816,14.1,1960,66,68,1,0.45,45.3,False,Low,589901,2023-10-14,Manhole Inspection,43.585557,-116.153537
SEW-00101,Wastewater,8th St,Downtown,lateral,Vitrified Clay,18,2131,16.2,1939,87,37,6,0.78,92.9,True,High,1172051,2025-07-26,Flow Monitoring,43.6,-116.194695
SEW-00102,Wastewater,Eagle Rd,West Boise,trunk,PVC,42,677,11.1,2009,17,100,0,0.5,57.5,False,Critical,382095,2022-11-28,Smoke Test,43.6,-116.351322
SEW-00103,Wastewater,Vista Ave,Southeast,collector,Concrete,18,2412,8.1,1984,42,71,0,0.55,65.1,False,High,756947,2023-03-06,Dye Test,43.56853,-116.2
SEW-00104,Wastewater,Overland Rd,Southeast,collector,Vitrified Clay,12,1717,9.7,1972,54,61,4,0.55,75.0,True,Low,420792,2023-11-11,Dye Test,43.586304,-116.199424
SEW-00105,Wastewater,McMillan Rd,West Boise,collector,PVC,12,1830,24.0,2012,14,93,0,0.5,40.8,False,High,786307,2024-09-24,Dye Test,43.641655,-116.272543
SEW-00106,Wastewater,Capitol Blvd,Downtown,trunk,Cast Iron,36,1197,9.1,1928,98,46,13,0.78,88.6,True,High,889268,2024-09-16,Smoke Test,43.626,-116.199278
SEW-00107,Wastewater,Parkcenter Blvd,East Bench,trunk,Orangeburg,48,211,24.8,1964,62,60,2,0.45,79.7,True,Medium,138723,2025-04-21,CCTV,43.58,-116.175
SEW-00108,Wastewater,Jefferson St,Downtown,collector,Vitrified Clay,18,1174,10.3,1925,101,24,9,0.78,48.2,True,Medium,208772,2025-04-14,CCTV,43.616533,-116.22
SEW-00109,Wastewater,Victory Rd,Southeast,collector,Concrete,18,2302,9.4,1983,43,88,0,0.55,57.2,False,Low,939976,2022-12-31,Manhole Inspection,43.570562,-116.19884
SEW-00110,Wastewater,Eisenman Rd,Southeast,collector,Concrete,12,2161,7.2,1991,35,78,1,0.55,49.3,False,Medium,831899,2025-06-20,Manhole Inspection,43.577784,-116.170442
SEW-00111,Wastewater,Amity Rd,Southwest,collector,PVC,12,716,16.0,1999,27,100,0,0.6,41.1,False,Low,164733,2022-12-12,Manhole Inspection,43.55165,-116.264354
SEW-00112,Wastewater,Eisenman Rd,Southeast,collector,PVC,24,1962,22.1,2022,4,97,0,0.55,37.4,False,Low,961573,2024-09-18,Flow Monitoring,43.54,-116.168789
SEW-00113,Wastewater,Gowen Rd,Southeast,lateral,PVC,6,1894,13.3,2004,22,100,0,0.55,20.1,False,Medium,214378,2024-06-28,Manhole Inspection,43.542034,-116.16172
SEW-00114,Wastewater,Lander St,Downtown,trunk,Concrete,24,573,6.9,1955,71,84,1,0.78,30.1,False,Medium,308219,2022-10-20,CCTV,43.602991,-116.22
SEW-00115,Wastewater,Victory Rd,Southwest,collector,Concrete,24,1550,22.5,1990,36,82,2,0.6,53.3,False,Medium,1004360,2025-08-19,Manhole Inspection,43.57102,-116.287135
SEW-00116,Wastewater,Amity Rd,Southwest,collector,PVC,18,624,18.1,2009,17,87,0,0.6,71.5,False,High,139678,2022-10-20,Manhole Inspection,43.553468,-116.297981
SEW-00117,Wastewater,9th St,Downtown,lateral,Vitrified Clay,15,1126,24.5,1942,84,41,3,0.78,78.5,True,Medium,524529,2022-10-19,CCTV,43.626,-116.196929
SEW-00118,Wastewater,Amity Rd,Southwest,collector,PVC,12,938,23.4,2007,19,91,0,0.6,48.8,False,High,225503,2025-02-12,Dye Test,43.55164,-116.254007
SEW-00119,Wastewater,Chinden Blvd,West Boise,collector,PVC,12,781,6.8,2015,11,93,0,0.5,33.3,False,Medium,243822,2023-05-18,Manhole Inspection,43.654446,-116.272255
SEW-00120,Wastewater,Broadway Ave,Downtown,trunk,Ductile Iron,36,1528,6.7,1978,48,74,1,0.78,80.9,False,Critical,318121,2025-08-23,CCTV,43.626,-116.187594
SEW-00121,Wastewater,28th St,North End,lateral,Vitrified Clay,24,1936,10.5,1953,73,51,7,0.72,55.5,True,High,1058390,2023-07-06,CCTV,43.648853,-116.215348
SEW-00122,Wastewater,Resseguie St,North End,lateral,Concrete,10,2193,9.4,1962,64,62,2,0.72,100.0,False,Critical,1017884,2024-10-10,Manhole Inspection,43.637162,-116.217326
SEW-00123,Wastewater,Hill Rd,North End,collector,Vitrified Clay,18,1385,19.9,1933,93,36,7,0.72,97.9,True,Medium,278285,2024-08-18,Dye Test,43.658969,-116.23
SEW-00124,Wastewater,Overland Rd,Southwest,trunk,PVC,24,1826,5.4,1977,49,82,0,0.6,61.8,False,Medium,1163367,2023-07-07,Dye Test,43.590171,-116.306616
SEW-00125,Wastewater,Broadway Ave,Southeast,trunk,PVC,42,1385,11.5,1995,31,81,0,0.55,69.9,False,High,1106621,2023-11-22,CCTV,43.54,-116.190875
SEW-00126,Wastewater,Milwaukee St,Southeast,lateral,Concrete,18,1196,6.6,1961,65,78,2,0.55,77.7,False,Low,632549,2024-09-05,Manhole Inspection,43.559854,-116.2
SEW-00127,Wastewater,Broadway Ave,Downtown,trunk,Orangeburg,48,667,20.5,1959,67,44,2,0.78,37.0,True,Medium,333576,2025-02-03,Smoke Test,43.614448,-116.189837
SEW-00128,Wastewater,8th St,Downtown,lateral,Vitrified Clay,8,1248,20.2,1934,92,27,10,0.78,88.5,True,High,397786,2023-02-25,Flow Monitoring,43.6,-116.196386
SEW-00129,Wastewater,Franklin Rd,West Boise,collector,PVC,24,1523,8.0,2018,8,100,0,0.5,12.7,False,Medium,263703,2024-03-22,Manhole Inspection,43.609185,-116.279823
SEW-00130,Wastewater,Victory Rd,Southwest,collector,Vitrified Clay,18,2278,5.8,1958,68,40,3,0.6,77.8,True,Medium,665276,2025-06-01,Dye Test,43.567445,-116.283061
SEW-00131,Wastewater,Amity Rd,Southwest,collector,PVC,21,2095,19.8,2022,4,92,0,0.6,72.6,False,Low,309723,2022-09-19,Smoke Test,43.553482,-116.238661
SEW-00132,Wastewater,Federal Way,East Bench,collector,Ductile Iron,21,2253,7.1,1993,33,88,0,0.45,77.5,False,Medium,1315203,2025-06-13,Dye Test,43.594905,-116.175
SEW-00133,Wastewater,McMillan Rd,West Boise,collector,PVC,12,1214,15.5,2001,25,88,1,0.5,35.5,False,Medium,417521,2024-05-02,Flow Monitoring,43.644246,-116.270721
SEW-00134,Wastewater,Overland Rd,Southeast,collector,Ductile Iron,24,414,6.3,1976,50,68,3,0.55,55.9,False,Low,77588,2024-04-30,Manhole Inspection,43.589735,-116.183216
SEW-00135,Wastewater,Ten Mile Rd,West Boise,collector,PVC,18,533,12.0,1999,27,99,0,0.5,48.3,False,Low,306343,2023-09-22,Smoke Test,43.621619,-116.318151
SEW-00136,Wastewater,Amity Rd,Southwest,collector,Concrete,18,2489,21.3,1995,31,89,0,0.6,43.7,False,Low,1080960,2022-12-20,CCTV,43.55226,-116.251667
SEW-00137,Wastewater,McMillan Rd,West Boise,collector,PVC,24,1682,24.0,2017,9,88,0,0.5,59.0,False,Low,541439,2024-11-04,Smoke Test,43.640109,-116.325291
SEW-00138,Wastewater,Jefferson St,Downtown,collector,Cast Iron,12,1411,20.4,1934,92,36,7,0.78,90.3,True,Low,612441,2025-09-16,Manhole Inspection,43.618067,-116.22
SEW-00139,Wastewater,Fairview Ave,West Boise,trunk,PVC,48,1743,18.9,1998,28,86,0,0.5,63.0,False,Medium,1268527,2023-06-20,CCTV,43.613926,-116.320532
SEW-00140,Wastewater,Overland Rd,Southeast,collector,PVC,15,2019,20.7,1978,48,94,0,0.55,25.3,False,High,426060,2023-04-17,Smoke Test,43.588664,-116.174809
SEW-00141,Wastewater,Shaw Mountain Rd,East Bench,lateral,PVC,12,2004,12.6,1991,35,94,0,0.45,76.0,False,Low,623211,2024-10-20,Dye Test,43.603467,-116.163729
SEW-00142,Wastewater,Jefferson St,Downtown,collector,Vitrified Clay,12,2168,7.1,1941,85,41,14,0.78,97.2,True,Low,950357,2024-04-28,CCTV,43.618245,-116.196637
SEW-00143,Wastewater,Franklin Rd,West Boise,collector,PVC,18,2040,13.7,2000,26,84,0,0.5,23.5,False,High,1152002,2023-05-24,Manhole Inspection,43.609432,-116.318212
SEW-00144,Wastewater,Capitol Blvd,Downtown,trunk,Vitrified Clay,24,1823,24.9,1951,75,46,6,0.78,82.2,True,Critical,619733,2025-05-14,Manhole Inspection,43.611161,-116.202585
SEW-00145,Wastewater,Lander St,Downtown,trunk,Vitrified Clay,24,1375,21.6,1933,93,36,9,0.78,90.1,True,High,754613,2025-11-22,CCTV,43.603504,-116.22
SEW-00146,Wastewater,Capitol Blvd,Downtown,trunk,Vitrified Clay,30,812,15.6,1941,85,45,9,0.78,66.8,True,High,180662,2024-03-26,CCTV,43.614904,-116.199637
