segment_id,system_type,location_name,district,pipe_material,diameter_inches,length_ft,install_year,asset_age_years,condition_score,breaks_last_5yr,capacity_utilization_pct,criticality_class,estimated_replacement_cost_usd,last_inspection_date,inspection_method,lat,lon
SEW-00021,Wastewater,Milwaukee St,Southeast,Ductile Iron,10,1340,1966,60,64,1,85.1,Low,533073,2025-05-16,CCTV,43.56201,-116.2
SEW-00022,Wastewater,McMillan Rd,West Boise,PVC,12,582,2024,2,86,0,29.8,High,171257,2023-09-03,CCTV,43.645558,-116.282104
SEW-00023,Wastewater,Broadway Ave,Downtown,Concrete,24,1799,1979,47,54,1,61.2,Medium,658642,2022-10-21,Flow Monitoring,43.6,-116.186296
SEW-00024,Wastewater,Lander St,Downtown,Vitrified Clay,36,1091,1937,89,5,8,75.1,Critical,749088,2023-04-01,Dye Test,43.603812,-116.217666
SEW-00025,Wastewater,Maple Grove Rd,Southwest,Concrete,12,2280,1965,61,56,3,56.3,High,843793,2025-04-01,Dye Test,43.541409,-116.277885
SEW-00026,Wastewater,Bogus Basin Rd,North End,Vitrified Clay,15,362,1962,64,23,4,99.9,Low,121969,2024-10-10,Manhole Inspection,43.669775,-116.198231
SEW-00027,Wastewater,Bogus Basin Rd,North End,Vitrified Clay,15,1821,1941,85,11,10,86.5,Low,936088,2025-11-13,Flow Monitoring,43.650235,-116.18918
SEW-00028,Wastewater,Fairview Ave,West Boise,PVC,24,2402,1996,30,80,1,25.3,Medium,1477686,2023-11-07,Manhole Inspection,43.614279,-116.313784
SEW-00029,Wastewater,Broadway Ave,Downtown,Ductile Iron,48,1439,1983,43,71,1,69.7,Medium,308678,2024-03-29,CCTV,43.620934,-116.185077
SEW-00030,Wastewater,Jefferson St,Downtown,Vitrified Clay,12,638,1941,85,5,3,62.6,Medium,117552,2024-06-10,Dye Test,43.617455,-116.22
SEW-00031,Wastewater,Orchard St,Southeast,Orangeburg,12,578,1971,55,34,6,73.3,High,134918,2024-06-14,Smoke Test,43.593743,-116.2
SEW-00032,Wastewater,Joplin Rd,West Boise,PVC,48,1951,2018,8,98,0,41.7,Critical,1527493,2025-09-20,Manhole Inspection,43.614873,-116.312329
SEW-00033,Wastewater,Victory Rd,Southwest,Concrete,15,1960,1990,36,73,1,45.4,Low,893974,2023-12-01,Smoke Test,43.567765,-116.295339
SEW-00034,Wastewater,State St,West Boise,PVC,12,1648,2005,21,92,0,50.1,High,573940,2024-08-05,Smoke Test,43.638681,-116.249269
SEW-00035,Wastewater,Harrison Blvd,North End,Concrete,12,934,1951,75,41,5,61.1,Low,393115,2024-07-12,Manhole Inspection,43.661925,-116.201007
SEW-00036,Wastewater,Broadway Ave,Downtown,Concrete,42,358,1961,65,68,2,77.8,High,193259,2024-08-23,Smoke Test,43.626,-116.189665
SEW-00037,Wastewater,Capitol Blvd,Downtown,Vitrified Clay,42,1544,1937,89,5,5,62.6,High,705408,2022-11-30,Manhole Inspection,43.6,-116.203583
SEW-00038,Wastewater,Capitol Blvd,Downtown,Vitrified Clay,36,931,1932,94,5,6,97.6,High,542252,2024-02-29,Flow Monitoring,43.617447,-116.198099
SEW-00039,Wastewater,Amity Rd,Southwest,PVC,12,1777,2022,4,100,0,51.4,Medium,487649,2022-11-26,Smoke Test,43.555397,-116.299794
SEW-00040,Wastewater,Shaw Mountain Rd,East Bench,Ductile Iron,12,486,1982,44,72,0,48.7,High,177562,2024-03-27,Dye Test,43.622955,-116.138169
SEW-00041,Wastewater,Warm Springs Ave,East Bench,Vitrified Clay,18,1848,1951,75,5,3,100.0,Medium,798052,2024-12-11,Dye Test,43.609183,-116.160647
SEW-00042,Wastewater,Curtis Rd,Southwest,Concrete,15,1863,1974,52,67,1,89.7,Medium,552251,2024-02-12,Flow Monitoring,43.583835,-116.224998
SEW-00043,Wastewater,Gowen Rd,Southeast,PVC,10,1075,2018,8,91,0,73.7,Medium,398525,2024-04-30,Dye Test,43.543067,-116.134501
SEW-00044,Wastewater,Chinden Blvd,West Boise,PVC,12,1162,2011,15,80,0,38.1,High,127552,2023-04-04,Dye Test,43.654037,-116.332029
SEW-00045,Wastewater,Idaho St,Downtown,Vitrified Clay,12,1897,1954,72,5,6,80.4,Medium,481062,2025-02-03,CCTV,43.616317,-116.195946
SEW-00046,Wastewater,Franklin Rd,West Boise,PVC,21,1096,1996,30,88,1,33.1,High,167151,2025-03-29,Flow Monitoring,43.605055,-116.253363
SEW-00047,Wastewater,Jefferson St,Downtown,Vitrified Clay,24,2489,1954,72,5,6,100.0,Low,1168045,2023-02-03,Flow Monitoring,43.616573,-116.175
SEW-00048,Wastewater,Overland Rd,Southwest,PVC,30,2144,1983,43,80,0,63.7,Medium,696422,2023-03-16,Smoke Test,43.5877,-116.249858
SEW-00049,Wastewater,28th St,North End,Concrete,6,517,1953,73,48,0,93.3,High,193829,2025-01-28,Smoke Test,43.667084,-116.216593
SEW-00050,Wastewater,Vista Ave,Southeast,Concrete,15,463,1964,62,66,2,65.5,Low,63036,2023-09-27,Dye Test,43.568189,-116.2
SEW-00051,Wastewater,Eagle Rd,West Boise,PVC,48,1758,1991,35,92,1,51.0,Medium,936080,2023-07-28,Dye Test,43.623158,-116.351344
SEW-00052,Wastewater,Joplin Rd,West Boise,PVC,48,1103,2024,2,89,0,60.9,Medium,586276,2023-08-27,Smoke Test,43.609058,-116.311362
SEW-00053,Wastewater,Eisenman Rd,Southeast,Ductile Iron,24,2387,1998,28,85,1,32.1,Medium,359824,2025-02-28,Flow Monitoring,43.54,-116.170636
SEW-00054,Wastewater,Harrison Blvd,North End,Cast Iron,18,1752,1928,98,5,5,78.4,Medium,934149,2023-07-23,Manhole Inspection,43.629188,-116.200272
SEW-00055,Wastewater,Myrtle St,Downtown,Vitrified Clay,12,2409,1955,71,25,7,97.2,Low,307020,2025-09-11,CCTV,43.604313,-116.175
SEW-00056,Wastewater,Bogus Basin Rd,North End,Vitrified Clay,8,283,1937,89,5,6,100.0,Low,36299,2023-04-25,Manhole Inspection,43.669853,-116.205458
SEW-00057,Wastewater,Shaw Mountain Rd,East Bench,Vitrified Clay,15,669,1965,61,20,4,64.2,Low,241714,2023-10-26,Flow Monitoring,43.616112,-116.168449
SEW-00058,Wastewater,Cloverdale Rd,West Boise,Ductile Iron,12,1194,2002,24,69,1,36.2,High,406156,2022-09-30,CCTV,43.6,-116.334365
SEW-00059,Wastewater,Boise Ave,East Bench,PVC,21,1717,1989,37,83,0,59.9,Medium,584449,2023-06-29,Manhole Inspection,43.597414,-116.160197
SEW-00060,Wastewater,Ustick Rd,West Boise,PVC,15,1983,2019,7,100,0,53.9,Low,748657,2023-03-18,Flow Monitoring,43.631057,-116.29826
SEW-00061,Wastewater,Milwaukee St,Southeast,Ductile Iron,10,1299,1992,34,74,0,52.8,Medium,258341,2023-04-26,Dye Test,43.550784,-116.2
SEW-00062,Wastewater,Fairview Ave,West Boise,HDPE,36,317,2014,12,93,0,40.2,Critical,131909,2024-05-09,Dye Test,43.615966,-116.308999
SEW-00063,Wastewater,Eagle Rd,West Boise,PVC,48,241,2007,19,90,0,49.0,High,131621,2024-07-28,Flow Monitoring,43.62633,-116.355854
SEW-00064,Wastewater,McMillan Rd,West Boise,PVC,21,270,2021,5,100,0,26.2,Medium,76289,2023-04-08,Dye Test,43.640558,-116.332272
SEW-00065,Wastewater,Maple Grove Rd,Southwest,Ductile Iron,21,2454,1977,49,77,0,45.5,High,625065,2024-11-03,Manhole Inspection,43.561463,-116.274783
SEW-00066,Wastewater,9th St,Downtown,Vitrified Clay,12,958,1959,67,22,8,45.4,Low,321729,2024-05-02,CCTV,43.6,-116.197568
SEW-00067,Wastewater,Fort St,North End,Concrete,18,1131,1943,83,37,2,100.0,Critical,201032,2025-08-13,Dye Test,43.637165,-116.220819
SEW-00068,Wastewater,Resseguie St,North End,Vitrified Clay,10,2210,1933,93,5,12,58.2,Medium,605532,2025-08-19,Manhole Inspection,43.634616,-116.23
SEW-00069,Wastewater,Victory Rd,Southeast,Concrete,12,1841,1962,64,55,0,31.2,Low,295831,2024-03-20,CCTV,43.56995,-116.188838
SEW-00070,Wastewater,Bogus Basin Rd,North End,Cast Iron,12,2485,1932,94,5,11,57.8,Medium,472833,2023-05-25,Flow Monitoring,43.675578,-116.190747
SEW-00071,Wastewater,Warm Springs Ave,East Bench,Vitrified Clay,21,1450,1962,64,33,2,93.8,Low,257245,2024-09-26,Manhole Inspection,43.608412,-116.175
SEW-00072,Wastewater,Chinden Blvd,West Boise,PVC,15,1182,1995,31,73,0,66.0,Medium,361005,2024-04-15,CCTV,43.651043,-116.343995
SEW-00073,Wastewater,15th St,North End,Concrete,10,1358,1943,83,60,4,79.3,Low,599408,2024-10-23,Flow Monitoring,43.661239,-116.208276
SEW-00074,Wastewater,9th St,Downtown,Orangeburg,12,1120,1959,67,22,5,48.0,High,143991,2024-03-13,Dye Test,43.624811,-116.19655
SEW-00075,Wastewater,Joplin Rd,West Boise,PVC,42,709,2008,18,93,0,23.1,High,281407,2023-06-20,CCTV,43.607496,-116.311175
SEW-00076,Wastewater,Amity Rd,Southwest,PVC,21,1520,1992,34,85,0,57.2,Low,713706,2025-10-21,Manhole Inspection,43.553622,-116.312931
SEW-00077,Wastewater,Curtis Rd,Southwest,Vitrified Clay,8,917,1957,69,8,3,49.9,Medium,139277,2023-03-01,CCTV,43.57764,-116.221091
SEW-00078,Wastewater,Victory Rd,Southeast,PVC,21,1565,1977,49,98,0,60.6,Medium,526021,2023-09-04,Dye Test,43.568926,-116.2
SEW-00079,Wastewater,Front St,Downtown,Concrete,12,1488,1954,72,48,2,81.9,Low,663594,2025-11-30,Dye Test,43.604514,-116.22
SEW-00080,Wastewater,Eisenman Rd,Southeast,PVC,12,968,2016,10,97,0,53.6,Critical,267958,2024-06-04,Dye Test,43.551475,-116.169264
SEW-00081,Wastewater,Jefferson St,Downtown,Vitrified Clay,21,2185,1943,83,5,5,36.6,High,543110,2022-10-31,CCTV,43.613729,-116.175
SEW-00082,Wastewater,Overland Rd,Southwest,Concrete,24,1120,1981,45,67,1,77.4,Medium,223889,2023-02-16,Manhole Inspection,43.590954,-116.236966
SEW-00083,Wastewater,Five Mile Rd,Southwest,Concrete,21,2176,1972,54,50,0,63.7,Low,700371,2023-01-27,Smoke Test,43.6,-116.296538
SEW-00084,Wastewater,Idaho St,Downtown,Vitrified Clay,6,1899,1942,84,5,7,66.2,Low,157315,2023-03-06,Smoke Test,43.613039,-116.178983
SEW-00085,Wastewater,Gowen Rd,Southeast,PVC,12,2183,2024,2,90,0,68.5,Medium,615906,2024-11-11,Smoke Test,43.542071,-116.153847
SEW-00086,Wastewater,Curtis Rd,Southwest,PVC,10,1156,1979,47,90,0,94.4,Low,314245,2023-10-14,Flow Monitoring,43.6,-116.222535
SEW-00087,Wastewater,Chinden Blvd,West Boise,Ductile Iron,21,351,1999,27,62,0,50.1,Low,62472,2025-05-12,Dye Test,43.650757,-116.272772
SEW-00088,Wastewater,Eisenman Rd,Southeast,PVC,15,1879,1990,36,80,0,31.2,Medium,845070,2023-09-10,CCTV,43.579675,-116.16718
SEW-00089,Wastewater,Parkcenter Blvd,East Bench,PVC,42,1497,1989,37,86,0,45.0,High,899954,2024-08-09,Manhole Inspection,43.607144,-116.175
SEW-00090,Wastewater,15th St,North End,Cast Iron,8,1977,1930,96,5,10,76.5,High,243919,2024-03-29,CCTV,43.68,-116.206438
SEW-00091,Wastewater,Front St,Downtown,Vitrified Clay,12,1401,1945,81,5,5,28.7,Low,371013,2024-11-29,Smoke Test,43.605151,-116.210545
SEW-00092,Wastewater,Harrison Blvd,North End,Vitrified Clay,24,1766,1930,96,5,6,78.9,Medium,377669,2024-06-30,Flow Monitoring,43.652577,-116.201555
SEW-00093,Wastewater,Eastman St,North End,Vitrified Clay,18,2105,1925,101,5,9,100.0,Medium,687275,2024-03-30,Flow Monitoring,43.643407,-116.188791
SEW-00094,Wastewater,Eagle Rd,West Boise,Ductile Iron,42,1437,2006,20,87,0,44.6,High,532087,2024-04-06,Manhole Inspection,43.600937,-116.354692
SEW-00095,Wastewater,Capitol Blvd,Downtown,Concrete,36,233,1950,76,48,0,70.2,High,47937,2023-02-19,Manhole Inspection,43.616274,-116.199885
SEW-00096,Wastewater,15th St,North End,Concrete,15,1643,1963,63,40,2,84.5,Low,720343,2025-02-25,CCTV,43.626,-116.209859
SEW-00097,Wastewater,Ustick Rd,West Boise,PVC,18,2005,1992,34,81,0,5.0,Medium,1097425,2023-08-05,Smoke Test,43.6302,-116.310811
SEW-00098,Wastewater,Fort St,North End,Vitrified Clay,12,2409,1933,93,5,8,74.1,High,503507,2023-03-22,Manhole Inspection,43.640259,-116.215731
SEW-00099,Wastewater,Joplin Rd,West Boise,PVC,24,2118,2011,15,96,0,80.9,Medium,1279095,2023-09-11,Dye Test,43.647031,-116.312155
SEW-00100,Wastewater,Shaw Mountain Rd,East Bench,Concrete,8,1816,1960,66,48,1,45.3,Low,589901,2023-10-14,Manhole Inspection,43.585557,-116.153537
SEW-00101,Wastewater,8th St,Downtown,Vitrified Clay,18,2131,1939,87,5,6,92.9,High,1172051,2025-07-26,Flow Monitoring,43.6,-116.194695
SEW-00102,Wastewater,Eagle Rd,West Boise,PVC,42,677,2009,17,98,0,57.5,Critical,382095,2022-11-28,Smoke Test,43.6,-116.351322
SEW-00103,Wastewater,Vista Ave,Southeast,Concrete,18,2412,1984,42,55,0,65.1,High,756947,2023-03-06,Dye Test,43.56853,-116.2
SEW-00104,Wastewater,Overland Rd,Southeast,Vitrified Clay,12,1717,1972,54,31,4,75.0,Low,420792,2023-11-11,Dye Test,43.586304,-116.199424
SEW-00105,Wastewater,McMillan Rd,West Boise,PVC,12,1830,2012,14,89,0,40.8,High,786307,2024-09-24,Dye Test,43.641655,-116.272543
SEW-00106,Wastewater,Capitol Blvd,Downtown,Cast Iron,36,1197,1928,98,5,13,88.6,High,889268,2024-09-16,Smoke Test,43.626,-116.199278
SEW-00107,Wastewater,Parkcenter Blvd,East Bench,Orangeburg,48,211,1964,62,29,2,79.7,Medium,138723,2025-04-21,CCTV,43.58,-116.175
SEW-00108,Wastewater,Jefferson St,Downtown,Vitrified Clay,18,1174,1925,101,5,9,48.2,Medium,208772,2025-04-14,CCTV,43.616533,-116.22
SEW-00109,Wastewater,Victory Rd,Southeast,Concrete,18,2302,1983,43,74,0,57.2,Low,939976,2022-12-31,Manhole Inspection,43.570562,-116.19884
SEW-00110,Wastewater,Eisenman Rd,Southeast,Concrete,12,2161,1991,35,64,1,49.3,Medium,831899,2025-06-20,Manhole Inspection,43.577784,-116.170442
SEW-00111,Wastewater,Amity Rd,Southwest,PVC,12,716,1999,27,100,0,41.1,Low,164733,2022-12-12,Manhole Inspection,43.55165,-116.264354
SEW-00112,Wastewater,Eisenman Rd,Southeast,PVC,24,1962,2022,4,95,0,37.4,Low,961573,2024-09-18,Flow Monitoring,43.54,-116.168789
SEW-00113,Wastewater,Gowen Rd,Southeast,PVC,6,1894,2004,22,100,0,20.1,Medium,214378,2024-06-28,Manhole Inspection,43.542034,-116.16172
SEW-00114,Wastewater,Lander St,Downtown,Concrete,24,573,1955,71,65,1,30.1,Medium,308219,2022-10-20,CCTV,43.602991,-116.22
SEW-00115,Wastewater,Victory Rd,Southwest,Concrete,24,1550,1990,36,69,2,53.3,Medium,1004360,2025-08-19,Manhole Inspection,43.57102,-116.287135
SEW-00116,Wastewater,Amity Rd,Southwest,PVC,18,624,2009,17,81,0,71.5,High,139678,2022-10-20,Manhole Inspection,43.553468,-116.297981
SEW-00117,Wastewater,9th St,Downtown,Vitrified Clay,15,1126,1942,84,5,3,78.5,Medium,524529,2022-10-19,CCTV,43.626,-116.196929
SEW-00118,Wastewater,Amity Rd,Southwest,PVC,12,938,2007,19,86,0,48.8,High,225503,2025-02-12,Dye Test,43.55164,-116.254007
SEW-00119,Wastewater,Chinden Blvd,West Boise,PVC,12,781,2015,11,90,0,33.3,Medium,243822,2023-05-18,Manhole Inspection,43.654446,-116.272255
SEW-00120,Wastewater,Broadway Ave,Downtown,Ductile Iron,36,1528,1978,48,55,1,80.9,Critical,318121,2025-08-23,CCTV,43.626,-116.187594
SEW-00121,Wastewater,28th St,North End,Vitrified Clay,24,1936,1953,73,11,7,55.5,High,1058390,2023-07-06,CCTV,43.648853,-116.215348
SEW-00122,Wastewater,Resseguie St,North End,Concrete,10,2193,1962,64,41,2,100.0,Critical,1017884,2024-10-10,Manhole Inspection,43.637162,-116.217326
SEW-00123,Wastewater,Hill Rd,North End,Vitrified Clay,18,1385,1933,93,5,7,97.9,Medium,278285,2024-08-18,Dye Test,43.658969,-116.23
SEW-00124,Wastewater,Overland Rd,Southwest,PVC,24,1826,1977,49,72,0,61.8,Medium,1163367,2023-07-07,Dye Test,43.590171,-116.306616
SEW-00125,Wastewater,Broadway Ave,Southeast,PVC,42,1385,1995,31,74,0,69.9,High,1106621,2023-11-22,CCTV,43.54,-116.190875
SEW-00126,Wastewater,Milwaukee St,Southeast,Concrete,18,1196,1961,65,59,2,77.7,Low,632549,2024-09-05,Manhole Inspection,43.559854,-116.2
SEW-00127,Wastewater,Broadway Ave,Downtown,Orangeburg,48,667,1959,67,9,2,37.0,Medium,333576,2025-02-03,Smoke Test,43.614448,-116.189837
SEW-00128,Wastewater,8th St,Downtown,Vitrified Clay,8,1248,1934,92,5,10,88.5,High,397786,2023-02-25,Flow Monitoring,43.6,-116.196386
SEW-00129,Wastewater,Franklin Rd,West Boise,PVC,24,1523,2018,8,97,0,12.7,Medium,263703,2024-03-22,Manhole Inspection,43.609185,-116.279823
SEW-00130,Wastewater,Victory Rd,Southwest,Vitrified Clay,18,2278,1958,68,5,3,77.8,Medium,665276,2025-06-01,Dye Test,43.567445,-116.283061
SEW-00131,Wastewater,Amity Rd,Southwest,PVC,21,2095,2022,4,88,0,72.6,Low,309723,2022-09-19,Smoke Test,43.553482,-116.238661
SEW-00132,Wastewater,Federal Way,East Bench,Ductile Iron,21,2253,1993,33,75,0,77.5,Medium,1315203,2025-06-13,Dye Test,43.594905,-116.175
SEW-00133,Wastewater,McMillan Rd,West Boise,PVC,12,1214,2001,25,82,1,35.5,Medium,417521,2024-05-02,Flow Monitoring,43.644246,-116.270721
SEW-00134,Wastewater,Overland Rd,Southeast,Ductile Iron,24,414,1976,50,48,3,55.9,Low,77588,2024-04-30,Manhole Inspection,43.589735,-116.183216
SEW-00135,Wastewater,Ten Mile Rd,West Boise,PVC,18,533,1999,27,94,0,48.3,Low,306343,2023-09-22,Smoke Test,43.621619,-116.318151
SEW-00136,Wastewater,Amity Rd,Southwest,Concrete,18,2489,1995,31,77,0,43.7,Low,1080960,2022-12-20,CCTV,43.55226,-116.251667
SEW-00137,Wastewater,McMillan Rd,West Boise,PVC,24,1682,2017,9,84,0,59.0,Low,541439,2024-11-04,Smoke Test,43.640109,-116.325291
SEW-00138,Wastewater,Jefferson St,Downtown,Cast Iron,12,1411,1934,92,5,7,90.3,Low,612441,2025-09-16,Manhole Inspection,43.618067,-116.22
SEW-00139,Wastewater,Fairview Ave,West Boise,PVC,48,1743,1998,28,79,0,63.0,Medium,1268527,2023-06-20,CCTV,43.613926,-116.320532
SEW-00140,Wastewater,Overland Rd,Southeast,PVC,15,2019,1978,48,86,0,25.3,High,426060,2023-04-17,Smoke Test,43.588664,-116.174809
SEW-00141,Wastewater,Shaw Mountain Rd,East Bench,PVC,12,2004,1991,35,88,0,76.0,Low,623211,2024-10-20,Dye Test,43.603467,-116.163729
SEW-00142,Wastewater,Jefferson St,Downtown,Vitrified Clay,12,2168,1941,85,5,14,97.2,Low,950357,2024-04-28,CCTV,43.618245,-116.196637
SEW-00143,Wastewater,Franklin Rd,West Boise,PVC,18,2040,2000,26,77,0,23.5,High,1152002,2023-05-24,Manhole Inspection,43.609432,-116.318212
SEW-00144,Wastewater,Capitol Blvd,Downtown,Vitrified Clay,24,1823,1951,75,5,6,82.2,Critical,619733,2025-05-14,Manhole Inspection,43.611161,-116.202585
SEW-00145,Wastewater,Lander St,Downtown,Vitrified Clay,24,1375,1933,93,5,9,90.1,High,754613,2025-11-22,CCTV,43.603504,-116.22
SEW-00146,Wastewater,Capitol Blvd,Downtown,Vitrified Clay,30,812,1941,85,5,9,66.8,High,180662,2024-03-26,CCTV,43.614904,-116.199637
SEW-00147,Wastewater,Bannock St,Downtown,Vitrified Clay,18,1919,1940,86,5,6,65.3,Medium,984286,2022-12-01,CCTV,43.613834,-116.190175
SEW-00148,Wastewater,Ustick Rd,West Boise,HDPE,24,1190,2022,4,98,0,59.5,Medium,390238,2024-11-14,CCTV,43.634311,-116.316698
SEW-00149,Wastewater,Maple Grove Rd,Southwest,PVC,12,2354,1978,48,69,0,37.4,Low,254546,2025-09-04,Flow Monitoring,43.578527,-116.274282
SEW-00150,Wastewater,Shaw Mountain Rd,East Bench,Ductile Iron,12,266,1971,55,53,2,64.0,High,96515,2024-01-22,Smoke Test,43.599284,-116.172298
SEW-00151,Wastewater,Front St,Downtown,Concrete,24,1586,1947,79,46,2,96.8,Low,616565,2024-11-24,Smoke Test,43.607881,-116.22
SEW-00152,Wastewater,Idaho St,Downtown,Orangeburg,18,351,1954,72,27,10,85.6,Low,48360,2023-01-12,Flow Monitoring,43.612761,-116.22
SEW-00153,Wastewater,Cole Rd,Southwest,Ductile Iron,18,349,1985,41,61,1,45.0,Low,169808,2024-01-23,Manhole Inspection,43.592263,-116.257853
SEW-00154,Wastewater,9th St,Downtown,Concrete,21,1989,1948,78,49,1,78.1,Low,643273,2023-02-20,Flow Monitoring,43.626,-116.19754
SEW-00155,Wastewater,Shaw Mountain Rd,East Bench,Ductile Iron,12,1292,1988,38,73,2,35.7,Low,440547,2022-11-11,Manhole Inspection,43.617046,-116.145917
SEW-00156,Wastewater,Federal Way,East Bench,Concrete,12,1543,1961,65,61,1,60.9,Low,417298,2023-12-14,Flow Monitoring,43.597966,-116.17348
SEW-00157,Wastewater,Front St,Downtown,Orangeburg,24,1981,1947,79,10,3,81.5,Medium,350285,2023-11-19,Dye Test,43.604647,-116.175
SEW-00158,Wastewater,Joplin Rd,West Boise,PVC,24,784,2000,26,84,0,42.3,Critical,160460,2023-11-13,Manhole Inspection,43.637894,-116.308931
SEW-00159,Wastewater,Vista Ave,Southeast,Ductile Iron,12,828,1991,35,71,0,50.5,Medium,335533,2022-12-14,Manhole Inspection,43.589325,-116.2
SEW-00160,Wastewater,Broadway Ave,Southeast,Vitrified Clay,36,1222,1975,51,32,6,23.4,Medium,645471,2025-04-05,Manhole Inspection,43.595,-116.190845
SEW-00161,Wastewater,Eastman St,North End,Vitrified Clay,18,1078,1953,73,5,5,90.8,High,377134,2025-07-04,Flow Monitoring,43.643978,-116.220154
SEW-00162,Wastewater,Harrison Blvd,North End,Vitrified Clay,12,1509,1953,73,7,7,89.4,Medium,326162,2025-01-14,Smoke Test,43.656427,-116.198743
SEW-00163,Wastewater,Shaw Mountain Rd,East Bench,PVC,15,1118,1987,39,92,0,53.8,Critical,507127,2022-10-25,Dye Test,43.589854,-116.166961
SEW-00164,Wastewater,Shaw Mountain Rd,East Bench,Ductile Iron,8,2459,1984,42,67,3,68.2,Low,561026,2023-03-28,Dye Test,43.590191,-116.13963
SEW-00165,Wastewater,Overland Rd,Southeast,PVC,24,502,1981,45,93,0,68.8,Medium,195485,2025-03-15,Dye Test,43.585752,-116.2
SEW-00166,Wastewater,Ustick Rd,West Boise,PVC,15,1972,2001,25,91,0,26.4,Medium,660408,2025-01-05,Manhole Inspection,43.633017,-116.270543
SEW-00167,Wastewater,Cloverdale Rd,West Boise,PVC,18,2325,2004,22,83,0,39.7,Medium,971261,2025-03-21,Manhole Inspection,43.651594,-116.333924
SEW-00168,Wastewater,Fairview Ave,West Boise,PVC,24,2258,2024,2,89,0,57.9,High,517382,2024-01-11,Dye Test,43.616846,-116.287655
SEW-00169,Wastewater,Front St,Downtown,Vitrified Clay,12,386,1926,100,5,8,65.6,Medium,71148,2025-10-01,Flow Monitoring,43.608691,-116.183318
SEW-00170,Wastewater,Ustick Rd,West Boise,PVC,18,1437,2024,2,100,0,39.6,Critical,371304,2025-08-02,Smoke Test,43.632898,-116.275625
SEW-00171,Wastewater,Gowen Rd,Southeast,PVC,6,2183,2016,10,94,0,5.0,Medium,795849,2023-12-26,Flow Monitoring,43.542787,-116.170785
